RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND
1,0,08793,Tiger Woods,12,7,3
2,0,23621,Rory Sabbatini,10,1,2,3
2,0,02239,Scott Verplank,10,1,1
4,0,06527,Steve Stricker,9,1,2,1
5,0,10885,Robert Allenby,8,2
5,0,10809,Jim Furyk,8,1,2,2
7,0,22371,Aaron Baddeley,7,1,1
7,0,24357,K.J. Choi,7,2,1
7,0,21209,Sergio Garcia,7,2,1
7,0,08075,Jerry Kelly,7,1
7,0,01810,Phil Mickelson,7,3,1,2
7,0,22046,Geoff Ogilvy,7,1,1
7,0,22405,Justin Rose,7,1,1
7,0,06567,Vijay Singh,7,2,1
7,0,02206,David Toms,7,1
16,0,01161,Mark Calcavecchia,6,1,1
16,0,20229,Stewart Cink,6,1
16,0,23135,Tim Clark,6,3
16,0,24781,Hunter Mahan,6,1
16,0,01766,Billy Mayfair,6,1,1
16,0,24361,Pat Perez,6,1
16,0,25345,Carl Pettersson,6
16,0,24502,Adam Scott,6,1,1
16,0,22293,Heath Slocum,6,1
16,0,27649,Brandt Snedeker,6,1,1
16,0,27770,Camilo Villegas,6,1,1
27,0,23983,Luke Donald,5,2
27,0,20104,Ken Duke,5,1
27,0,06522,Ernie Els,5,1,2
27,0,21961,Charles Howell III,5,1,2
27,0,21731,Freddie Jacobson,5,1
27,0,24024,Zach Johnson,5,2,1
27,0,10860,Justin Leonard,5,1,1
27,0,24140,Sean O'Hair,5
27,0,20628,Arron Oberholser,5,1
27,0,24138,Ian Poulter,5,1
27,0,25190,Jeff Quinney,5,1
27,0,20645,John Senden,5,1,1
27,0,25804,Bubba Watson,5,1
27,0,26289,Boo Weekley,5,1,1,1
41,0,06004,Stephen Ames,4,1
41,0,24925,Jonathan Byrd,4,1
41,0,25364,Paul Casey,4
41,0,20472,Alex Cejka,4
41,0,24358,Robert Garrigus,4,1
41,0,22378,Trevor Immelman,4,2
41,0,29718,Anthony Kim,4,1
41,0,01666,Bernhard Langer,4,1
41,0,27060,John Mallinger,4,3
41,0,28158,Steve Marino,4
41,0,22913,John Rollins,4,2
41,0,23623,Bo Van Pelt,4
41,0,10423,Mike Weir,4,1
41,0,23322,Brett Wetterich,4,2
41,0,12602,Dean Wilson,4
56,0,20098,Stuart Appleby,3,1,1
56,0,19803,Ryan Armour,3
56,0,07867,Woody Austin,3,1,2
56,0,12652,Cameron Beckman,3,1
56,0,20850,Daniel Chopra,3,1,1
56,0,19972,José Coceres,3,2
56,0,21753,Brian Davis,3,1
56,0,01320,Bob Estes,3
56,0,20585,Niclas Fasth,3
56,0,07457,Steve Flesch,3,2
56,0,01388,Robert Gamez,3,1
56,0,25900,Lucas Glover,3
56,0,22892,Jason Gore,3,1
56,0,24924,Bill Haas,3,1
56,0,20766,Padraig Harrington,3,1
56,0,08537,J.P. Hayes,3
56,0,27141,J.B. Holmes,3
56,0,01677,Tom Lehman,3
56,0,20634,Peter Lonard,3,1
56,0,01706,Davis Love III,3
56,0,24912,Will MacKenzie,3
56,0,27120,Troy Matteson,3,2
56,0,01797,Rocco Mediate,3,1
56,0,06515,Shaun Micheel,3
56,0,26596,Ryan Moore,3,1
56,0,25396,Kevin Na,3
56,0,22348,Nick O'Hern,3,1
56,0,28475,Jeff Overton,3,1
56,0,01945,Kenny Perry,3,1
56,0,06595,Kevin Sutherland,3,1
56,0,23325,Vaughn Taylor,3,1
56,0,23788,D.J. Trahan,3,1
56,0,23349,Charles Warren,3,1
56,0,27095,Nick Watney,3,1
56,0,20160,Charlie Wi,3,1
56,0,21878,Mark Wilson,3,1
92,0,06197,Michael Allen,2,1
92,0,01035,Tommy Armour III,2
92,0,23614,Rich Beem,2
92,0,01142,Bart Bryant,2
92,0,12510,Chad Campbell,2,1
92,0,20623,Gavin Coles,2
92,0,22621,Ben Curtis,2
92,0,23638,Brendon de Jonge,2
92,0,01313,Steve Elkington,2
92,0,21805,Harrison Frazar,2
92,0,01381,Fred Funk,2,1
92,0,19846,Brian Gay,2
92,0,23718,Nathan Green,2,1
92,0,20378,Mathias Grönberg,2,1
92,0,10117,Bob Heintz,2
92,0,23353,J.J. Henry,2
92,0,12716,Charley Hoffman,2,1
92,0,21350,Ryuji Imada,2,1
92,0,10733,Kent Jones,2
92,0,23108,Matt Kuchar,2,1
92,0,20382,Stephen Leaney,2,1
92,0,12680,Shigeki Maruyama,2,1
92,0,24490,George McNeill,2,1,1
92,0,21949,Joe Ogilvie,2,1
92,0,20572,Rod Pampling,2,1
92,0,01941,Tom Pernice Jr.,2
92,0,25562,Andres Romero,2,1
92,0,26679,Kevin Stadler,2,1
92,0,21528,Henrik Stenson,2,1
92,0,27963,Chris Stroud,2
92,0,26951,Johnson Wagner,2,1
123,0,21633,Steve Allan,1
123,0,20498,Briny Baird,1
123,0,23613,Rich Barcelo,1
123,0,07223,Brian Bateman,1,1
123,0,07363,Craig Bowden,1
123,0,21646,David Branshaw,1
123,0,01139,Olin Browne,1
123,0,25273,Andrew Buckle,1
123,0,20848,Ángel Cabrera,1,1
123,0,06034,Marco Dawson,1
123,0,06251,Chris DiMarco,1
123,0,24236,Nick Dougherty,1
123,0,25686,Jason Dufner,1
123,0,24512,Simon Dyson,1
123,0,20121,Todd Fischer,1
123,0,01361,Dan Forsman,1
123,0,20574,Mathew Goggin,1
123,0,20157,Retief Goosen,1,1
123,0,20105,Jeff Gove,1
123,0,21806,Paul Gow,1
123,0,06643,Paul Goydos,1,1
123,0,20569,Richard Green,1
123,0,06575,Dudley Hart,1
123,0,20433,Mark Hensby,1,1
123,0,12782,Tim Herron,1,1
123,0,08881,Tripp Isenhour,1
123,0,07547,Craig Kanada,1
123,0,19970,Robert Karlsson,1
123,0,01619,Skip Kendall,1
123,0,06012,Greg Kraft,1
123,0,12705,Cliff Kresge,1
123,0,22806,Doug LaBelle II,1
123,0,06332,Neal Lancaster,1
