RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,02294,Willie Wood,.62,1,162
2,0,10649,Tom Scherrer,.65,2,306
3,0,19846,Brian Gay,.69,1,144
3,0,12663,Phil Tataurangi,.69,1,144
5,0,01705,Tim Loustalot,.79,1,126
6,0,11123,Chris Couch,.93,1,108
6,0,01266,Clark Dennis,.93,2,216
6,0,01510,Nolan Henke,.93,2,216
9,0,01771,Blaine McCallister,1.04,3,288
10,0,02146,Payne Stewart,1.19,3,252
11,0,01378,David Frost,1.31,4,306
12,0,06332,Neal Lancaster,1.39,3,216
12,0,07101,Dave Stockton Jr.,1.39,3,216
12,0,23349,Charles Warren,1.39,2,144
15,0,01569,Peter Jacobsen,1.59,4,252
15,0,06581,David Sutherland,1.59,4,252
17,0,01157,Tom Byrum,1.63,5,306
18,0,01331,Rick Fehr,1.67,3,180
18,0,10107,Deane Pappas,1.67,3,180
18,0,06078,Esteban Toledo,1.67,6,360
21,0,02010,Loren Roberts,1.75,6,342
22,0,01024,Billy Andrade,1.85,5,270
22,0,01040,Emlyn Aubrey,1.85,3,162
22,0,01533,P.H. Horgan III,1.85,6,324
22,0,06315,Pete Jordan,1.85,5,270
22,0,01968,Nick Price,1.85,5,270
22,0,02101,Joey Sindelar,1.85,4,216
22,0,06655,Geoffrey Sisk,1.85,3,162
22,0,02267,D.A. Weibring,1.85,3,162
30,0,06575,Dudley Hart,1.94,7,360
31,0,01035,Tommy Armour III,1.96,6,306
32,0,20099,Doug Barron,1.98,5,252
32,0,01127,Danny Briggs,1.98,5,252
32,0,01457,Jay Haas,1.98,5,252
32,0,01920,Craig Parry,1.98,5,252
36,0,20498,Briny Baird,2.02,4,198
36,0,01329,Brad Faxon,2.02,4,198
36,0,20094,Jonathan Kaye,2.02,8,396
36,0,02279,Mark Wiebe,2.02,4,198
40,0,01553,John Huston,2.08,6,288
40,0,02099,Scott Simpson,2.08,3,144
40,0,07753,Kevin Wentworth,2.08,3,144
43,0,20098,Stuart Appleby,2.16,7,324
43,0,01724,Jeff Maggert,2.16,7,324
45,0,08547,John Maginnes,2.22,6,270
45,0,01891,David Ogrin,2.22,4,180
45,0,12660,Jesper Parnevik,2.22,6,270
48,0,01706,Davis Love III,2.29,7,306
48,0,10585,Scott McCarron,2.29,7,306
50,0,10733,Kent Jones,2.38,3,126
51,0,01063,Ben Bates,2.43,7,288
