RANK,MOVEMENT,PLAYER_ID,PLAYER,CAREER BEST STREAK,BEST YTD STREAK
1,0,01320,Bob Estes,17,0
2,0,29725,Tony Finau,16,11
2,0,21961,Charles Howell III,16,9
4,0,06251,Chris DiMarco,14,0
4,0,01527,Scott Hoch,14,0
4,0,30925,Dustin Johnson,14,14
4,0,27129,Luke List,14,4
4,0,26951,Johnson Wagner,14,6
4,0,08793,Tiger Woods,14,2
10,0,23638,Brendon de Jonge,13,2
10,0,21805,Harrison Frazar,13,0
10,0,46717,Viktor Hovland,13,13
10,0,30926,Chris Kirk,13,3
10,0,29926,Danny Lee,13,5
10,0,01706,Davis Love III,13,5
10,0,32839,Hideki Matsuyama,13,5
10,0,25818,Scott Piercy,13,7
10,0,29221,Webb Simpson,13,9
10,0,33486,Roger Sloan,13,13
20,0,20498,Briny Baird,12,0
20,0,34021,Bud Cauley,12,12
20,0,06621,Joe Durant,12,0
20,0,29420,Billy Horschel,12,4
20,0,12680,Shigeki Maruyama,12,0
20,0,24140,Sean O'Hair,12,4
20,0,01887,Mark O'Meara,12,0
20,0,01948,Tim Petrovic,12,0
20,0,26476,Chez Reavie,12,12
20,0,20127,Chris Riley,12,0
20,0,06595,Kevin Sutherland,12,0
20,0,33448,Justin Thomas,12,8
20,0,02206,David Toms,12,2
33,0,07223,Brian Bateman,11,0
33,0,25274,Steven Bowditch,11,0
33,0,24925,Jonathan Byrd,11,3
33,0,23541,Ben Crane,11,3
33,0,28089,Jason Day,11,4
33,0,01306,David Edwards,11,0
33,0,10809,Jim Furyk,11,4
33,0,08537,J.P. Hayes,11,0
33,0,08075,Jerry Kelly,11,1
33,0,01666,Bernhard Langer,11,0
33,0,29461,Jamie Lovemark,11,4
33,0,01783,Mark McCumber,11,0
33,0,28237,Rory McIlroy,11,6
33,0,01925,Jerry Pate,11,0
33,0,01945,Kenny Perry,11,1
33,0,46970,Jon Rahm,11,11
33,0,20645,John Senden,11,2
33,0,39324,J.J. Spaun,11,11
33,0,02239,Scott Verplank,11,0
52,0,07867,Woody Austin,10,0
52,0,12510,Chad Campbell,10,1
52,0,32200,Roberto Castro,10,10
52,0,01226,Fred Couples,10,1
52,0,21753,Brian Davis,10,1
52,0,07457,Steve Flesch,10,0
52,0,12823,Carlos Franco,10,0
52,0,01378,David Frost,10,0
52,0,01381,Fred Funk,10,0
52,0,01388,Robert Gamez,10,0
52,0,25900,Lucas Glover,10,8
52,0,20157,Retief Goosen,10,1
52,0,24924,Bill Haas,10,4
52,0,24024,Zach Johnson,10,3
52,0,36689,Brooks Koepka,10,6
52,0,23108,Matt Kuchar,10,8
52,0,33410,Andrew Landry,10,10
52,0,01797,Rocco Mediate,10,0
52,0,26596,Ryan Moore,10,3
52,0,26301,James Nitties,10,0
52,0,01928,Corey Pavin,10,0
52,0,01938,David Peoples,10,0
52,0,24361,Pat Perez,10,6
52,0,01941,Tom Pernice Jr.,10,0
52,0,25345,Carl Pettersson,10,0
52,0,01996,Mike Reid,10,0
52,0,02010,Loren Roberts,10,0
52,0,02049,Gene Sauers,10,0
52,0,02090,Tom Sieckmann,10,0
