RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,02010,Loren Roberts,76.67,23,30,-23,-25.00
2,0,23541,Ben Crane,68.93,71,103,-79,-3.00
3,0,20157,Retief Goosen,68.37,67,98,-72,-3.00
4,0,21961,Charles Howell III,67.09,106,158,-114,-10.00
5,0,02206,David Toms,66.67,72,108,-80,-18.00
6,0,20498,Briny Baird,65.82,104,158,-110,-17.00
7,0,20663,Brenden Pappas,65.81,77,117,-88,+14.00
8,0,12602,Dean Wilson,65.67,88,134,-92,-17.00
9,0,23135,Tim Clark,65.45,72,110,-78,-19.00
10,0,24507,Jason Bohn,64.56,102,158,-113,-3.00
11,0,12680,Shigeki Maruyama,63.70,86,135,-92,-27.00
12,0,27095,Nick Watney,62.81,125,199,-132,E
13,0,08793,Tiger Woods,62.80,103,164,-113,-1.00
14,0,06004,Stephen Ames,62.75,64,102,-67,E
14,0,20382,Stephen Leaney,62.75,64,102,-67,-32.00
16,0,08385,Omar Uresti,62.61,72,115,-75,-35.00
17,0,01024,Billy Andrade,62.50,85,136,-88,-23.00
18,0,01810,Phil Mickelson,62.41,83,133,-85,-4.00
19,0,06527,Steve Stricker,62.35,53,85,-55,-25.00
20,0,06595,Kevin Sutherland,62.24,89,143,-92,+2.00
21,0,02246,Duffy Waldorf,62.02,80,129,-84,-1.00
22,0,06573,Brandt Jobe,61.88,112,181,-118,+16.00
23,0,24502,Adam Scott,61.39,62,101,-66,-22.00
24,0,01706,Davis Love III,61.34,73,119,-81,+4.00
25,0,23788,D.J. Trahan,61.14,107,175,-121,+1.00
26,0,23623,Bo Van Pelt,61.08,124,203,-130,-15.00
27,0,24357,K.J. Choi,60.92,53,87,-57,-9.00
28,0,22046,Geoff Ogilvy,60.90,81,133,-84,-18.00
29,0,20474,Phillip Price,60.78,62,102,-66,-23.00
30,0,21209,Sergio Garcia,60.77,79,130,-82,-5.00
31,0,07749,Brett Quigley,60.71,102,168,-103,-19.00
32,0,07867,Woody Austin,60.64,114,188,-122,-20.00
33,0,23409,James Driscoll,60.26,94,156,-102,-2.00
34,0,20572,Rod Pampling,60.13,95,158,-98,+5.00
35,0,20691,Greg Owen,60.00,99,165,-102,+3.00
35,0,22913,John Rollins,60.00,117,195,-128,-4.00
37,0,06567,Vijay Singh,59.84,149,249,-158,-3.00
38,0,06034,Marco Dawson,59.59,87,146,-90,-16.00
39,0,01948,Tim Petrovic,59.48,91,153,-97,+5.00
40,0,06197,Michael Allen,59.40,79,133,-85,+4.00
