RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,08793,Tiger Woods,1.59,121,76
2,0,01810,Phil Mickelson,1.96,157,80
3,0,02239,Scott Verplank,2.06,218,106
4,0,20098,Stuart Appleby,2.07,168,81
4,0,07457,Steve Flesch,2.07,250,121
6,0,06522,Ernie Els,2.09,142,68
7,0,20229,Stewart Cink,2.14,203,95
8,0,06012,Greg Kraft,2.15,228,106
9,0,01761,Len Mattiace,2.19,234,107
10,0,01307,Joel Edwards,2.20,218,99
11,0,01042,Paul Azinger,2.22,160,72
11,0,01945,Kenny Perry,2.22,169,76
13,0,08545,Glen Hnatiuk,2.24,202,90
14,0,10809,Jim Furyk,2.25,214,95
14,0,01943,Chris Perry,2.25,236,105
16,0,01707,Steve Lowery,2.26,235,104
17,0,06575,Dudley Hart,2.27,166,73
18,0,01219,John Cook,2.28,201,88
18,0,06621,Joe Durant,2.28,214,94
20,0,01418,Bill Glasson,2.29,213,93
20,0,01996,Mike Reid,2.29,165,72
20,0,10423,Mike Weir,2.29,220,96
23,0,09011,David Duval,2.31,155,67
23,0,06332,Neal Lancaster,2.31,219,95
23,0,10860,Justin Leonard,2.31,215,93
26,0,01161,Mark Calcavecchia,2.32,213,92
26,0,01361,Dan Forsman,2.32,204,88
26,0,12645,Brent Geiberger,2.32,174,75
26,0,02110,Jerry Smith,2.32,234,101
26,0,08375,Paul Stankowski,2.32,169,73
26,0,06078,Esteban Toledo,2.32,258,111
32,0,02214,Kirk Triplett,2.33,226,97
33,0,01677,Tom Lehman,2.35,162,69
33,0,02010,Loren Roberts,2.35,202,86
33,0,06595,Kevin Sutherland,2.35,221,94
36,0,08075,Jerry Kelly,2.36,262,111
36,0,11032,Frank Lickliter II,2.36,248,105
36,0,02170,Hal Sutton,2.36,210,89
39,0,10885,Robert Allenby,2.37,223,94
39,0,06004,Stephen Ames,2.37,225,95
39,0,06350,Bob May,2.37,216,91
39,0,01771,Blaine McCallister,2.37,246,104
43,0,01527,Scott Hoch,2.38,248,104
44,0,12680,Shigeki Maruyama,2.40,204,85
44,0,12660,Jesper Parnevik,2.40,163,68
46,0,06251,Chris DiMarco,2.41,275,114
46,0,02104,Jeff Sluman,2.41,268,111
48,0,19846,Brian Gay,2.43,241,99
48,0,06431,Jean Van de Velde,2.43,163,67
50,0,01014,Fulton Allem,2.44,183,75
50,0,01139,Olin Browne,2.44,242,99
52,0,24357,K.J. Choi,2.45,218,89
52,0,12782,Tim Herron,2.45,230,94
52,0,01968,Nick Price,2.45,152,62
55,0,20593,Greg Chalmers,2.46,226,92
55,0,01569,Peter Jacobsen,2.46,160,65
55,0,01938,David Peoples,2.46,244,99
55,0,02223,Bob Tway,2.46,219,89
59,0,01577,Lee Janzen,2.47,225,91
59,0,08993,Franklin Langham,2.47,225,91
61,0,06036,Scott Dunlap,2.48,263,106
62,0,01203,Russ Cochran,2.49,177,71
62,0,01381,Fred Funk,2.49,271,109
62,0,01797,Rocco Mediate,2.49,189,76
65,0,01226,Fred Couples,2.50,175,70
65,0,01926,Steve Pate,2.50,230,92
65,0,10649,Tom Scherrer,2.50,253,101
68,0,20574,Mathew Goggin,2.51,223,89
68,0,02206,David Toms,2.51,274,109
70,0,01116,Michael Bradley,2.52,184,73
70,0,01320,Bob Estes,2.52,159,63
70,0,06315,Pete Jordan,2.52,257,102
70,0,20094,Jonathan Kaye,2.52,282,112
70,0,06567,Vijay Singh,2.52,232,92
75,0,21805,Harrison Frazar,2.53,177,70
75,0,02245,Grant Waite,2.53,215,85
75,0,10425,Jay Williamson,2.53,258,102
78,0,19824,Craig Barlow,2.54,244,96
79,0,01331,Rick Fehr,2.55,181,71
79,0,01685,J.L. Lewis,2.55,260,102
79,0,01823,Larry Mize,2.55,176,69
82,0,19881,Robert Damron,2.56,233,91
82,0,01723,Andrew Magee,2.56,187,73
84,0,01329,Brad Faxon,2.57,247,96
84,0,06643,Paul Goydos,2.57,249,97
84,0,01706,Davis Love III,2.57,236,92
84,0,21949,Joe Ogilvie,2.57,234,91
84,0,07101,Dave Stockton Jr.,2.57,224,87
89,0,23125,Brad Elder,2.58,284,110
89,0,01905,Joe Ozaki,2.58,137,53
89,0,01920,Craig Parry,2.58,178,69
92,0,01553,John Huston,2.59,207,80
92,0,20095,Carl Paulson,2.59,267,103
94,0,01157,Tom Byrum,2.60,231,89
94,0,01185,Brandel Chamblee,2.60,182,70
94,0,02246,Duffy Waldorf,2.60,195,75
97,0,08537,J.P. Hayes,2.61,232,89
97,0,10457,Frank Nobilo,2.61,248,95
99,0,01035,Tommy Armour III,2.62,233,89
99,0,20099,Doug Barron,2.62,215,82
99,0,21209,Sergio Garcia,2.62,136,52
99,0,01619,Skip Kendall,2.62,293,112
99,0,20127,Chris Riley,2.62,246,94
104,0,01132,Mark Brooks,2.63,231,88
104,0,08931,Glen Day,2.63,242,92
104,0,10585,Scott McCarron,2.63,258,98
104,0,10912,Craig Perks,2.63,216,82
108,0,06515,Shaun Micheel,2.64,240,91
108,0,06140,Sean Murphy,2.64,264,100
108,0,23621,Rory Sabbatini,2.64,219,83
111,0,12388,Michael Clark II,2.65,212,80
112,0,06617,Brian Henninger,2.66,237,89
112,0,01724,Jeff Maggert,2.66,218,82
112,0,01941,Tom Pernice Jr.,2.66,255,96
112,0,11011,Mike Sposa,2.66,194,73
112,0,06581,David Sutherland,2.66,282,106
112,0,02279,Mark Wiebe,2.66,245,92
118,0,01093,Ronnie Black,2.67,211,79
118,0,08385,Omar Uresti,2.67,251,94
120,0,20029,Notah Begay III,2.68,209,78
120,0,01374,Robin Freeman,2.68,263,98
120,0,06090,Jim McGovern,2.68,142,53
120,0,02257,Brian Watts,2.68,236,88
124,0,01599,Steve Jones,2.69,191,71
124,0,01927,Dennis Paulson,2.69,218,81
126,0,07867,Woody Austin,2.70,273,101
126,0,08547,John Maginnes,2.70,267,99
126,0,20445,Casey Martin,2.70,238,88
129,0,01388,Robert Gamez,2.71,206,76
130,0,10569,Mike Brisky,2.72,234,86
130,0,20043,Edward Fryatt,2.72,264,97
132,0,12652,Cameron Beckman,2.73,221,81
132,0,01326,Nick Faldo,2.73,134,49
132,0,07749,Brett Quigley,2.73,172,63
135,0,01098,Jay Don Blake,2.75,256,93
135,0,01376,Bob Friend,2.75,253,92
137,0,06088,Steve Gotsche,2.76,246,89
138,0,01024,Billy Andrade,2.77,238,86
138,0,10201,Matt Gogel,2.77,233,84
138,0,10963,Jimmy Green,2.77,230,83
141,0,02131,Mike Springer,2.79,226,81
142,0,01063,Ben Bates,2.80,291,104
143,0,01313,Steve Elkington,2.81,163,58
143,0,21007,Gabriel Hjertstedt,2.81,233,83
145,0,01040,Emlyn Aubrey,2.83,181,64
145,0,01175,Jim Carter,2.83,266,94
145,0,11653,Paul Curry,2.83,181,64
145,0,01533,P.H. Horgan III,2.83,184,65
145,0,02101,Joey Sindelar,2.83,238,84
145,0,06613,Tommy Tolles,2.83,170,60
151,0,12753,David Morland IV,2.85,245,86
152,0,01766,Billy Mayfair,2.86,252,88
153,0,20105,Jeff Gove,2.87,235,82
154,0,07763,Doug Dunakey,2.88,230,80
154,0,12823,Carlos Franco,2.88,242,84
154,0,06044,Scott Gump,2.88,302,105
154,0,10962,Bradley Hughes,2.88,259,90
158,0,01408,Kelly Gibson,2.89,237,82
158,0,21593,Keith Nolan,2.89,165,57
160,0,06573,Brandt Jobe,2.90,255,88
161,0,23614,Rich Beem,2.91,236,81
