RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,34098,Russell Henley,1.79,113,63
1,0,29221,Webb Simpson,1.79,93,52
3,1,46970,Jon Rahm,1.86,108,58
4,1,48081,Xander Schauffele,1.93,135,70
5,-2,34099,Harris English,1.97,150,76
6,0,24024,Zach Johnson,2.05,125,61
7,1,33419,Cameron Tringale,2.08,131,63
8,-1,47959,Bryson DeChambeau,2.13,132,62
9,1,29535,Brice Garnett,2.14,124,58
10,2,27644,Brian Harman,2.15,168,78
11,-2,40026,Daniel Berger,2.17,139,64
11,3,33122,Russell Knox,2.17,137,63
11,3,33413,Ben Martin,2.17,78,36
14,2,25364,Paul Casey,2.18,122,56
14,-1,33448,Justin Thomas,2.18,144,66
16,-6,45526,Abraham Ancer,2.20,163,74
16,1,25349,Tim Wilkinson,2.20,101,46
18,1,30925,Dustin Johnson,2.24,110,49
18,1,36871,Matthew NeSmith,2.24,152,68
18,1,24361,Pat Perez,2.24,123,55
18,1,37189,Harold Varner III,2.24,166,74
18,1,31323,Gary Woodland,2.24,139,62
23,1,34021,Bud Cauley,2.26,138,61
23,-5,29725,Tony Finau,2.26,163,72
23,5,48822,Sebastián Muñoz,2.26,190,84
23,1,24502,Adam Scott,2.26,86,38
27,-3,32839,Hideki Matsuyama,2.27,168,74
27,0,22056,Cameron Percy,2.27,102,45
27,11,34360,Patrick Reed,2.27,168,74
30,-2,30692,Scott Stallings,2.28,153,67
31,0,36801,Mark Hubbard,2.30,198,86
31,0,47347,Adam Schenk,2.30,170,74
31,0,27649,Brandt Snedeker,2.30,122,53
34,1,34363,Tyrrell Hatton,2.31,97,42
35,-4,25396,Kevin Na,2.32,165,71
35,0,27095,Nick Watney,2.32,102,44
37,1,49960,Sepp Straka,2.33,163,70
38,4,32640,Troy Merritt,2.34,159,68
38,4,53165,Doc Redman,2.34,192,82
38,4,30110,Kyle Stanley,2.34,124,53
41,4,33404,Chris Baker,2.35,115,49
41,4,33597,Harry Higgs,2.35,195,83
41,-3,39971,Sungjae Im,2.35,221,94
41,-3,30927,Brendon Todd,2.35,202,86
45,2,33120,Mark Anderson,2.36,111,47
45,2,28679,Fabián Gómez,2.36,130,55
45,2,33204,Shane Lowry,2.36,104,44
45,2,33667,Carlos Ortiz,2.36,170,72
45,2,26476,Chez Reavie,2.36,182,77
50,2,12716,Charley Hoffman,2.37,140,59
50,-15,29478,Kevin Kisner,2.37,173,73
50,2,46442,Maverick McNealy,2.37,180,76
50,12,46046,Scottie Scheffler,2.37,194,82
54,0,28089,Jason Day,2.38,126,53
54,0,10809,Jim Furyk,2.38,93,39
54,0,36699,Patrick Rodgers,2.38,217,91
57,0,26758,David Hearn,2.39,122,51
58,0,20229,Stewart Cink,2.41,123,51
58,0,46402,Talor Gooch,2.41,200,83
58,0,23108,Matt Kuchar,2.41,135,56
61,2,46717,Viktor Hovland,2.42,179,74
61,-3,28237,Rory McIlroy,2.42,145,60
63,0,35450,Patrick Cantlay,2.43,112,46
63,0,34314,Sebastian Cappelen,2.43,129,53
63,0,32791,K.H. Lee,2.43,175,72
66,1,28252,Seamus Power,2.44,78,32
66,1,32150,Michael Thompson,2.44,151,62
66,1,29484,Peter Uihlein,2.44,105,43
69,1,26596,Ryan Moore,2.45,108,44
70,3,33399,Adam Hadwin,2.46,160,65
70,12,35506,Mackenzie Hughes,2.46,172,70
70,3,27129,Luke List,2.46,170,69
70,3,34466,Peter Malnati,2.46,140,57
70,3,49771,J.T. Poston,2.46,192,78
75,3,22371,Aaron Baddeley,2.47,116,47
75,3,39977,Max Homa,2.47,173,70
75,3,37275,Sam Ryder,2.47,173,70
75,3,31560,Brian Stuard,2.47,200,81
79,3,47504,Sam Burns,2.48,144,58
79,3,40098,Matt Fitzpatrick,2.48,134,54
79,3,32102,Rickie Fowler,2.48,109,44
79,3,35449,Adam Long,2.48,218,88
79,-6,50525,Collin Morikawa,2.48,198,80
79,3,27349,Alex Noren,2.48,139,56
79,3,27556,Ted Potter Jr.,2.48,109,44
79,3,29518,Brendan Steele,2.48,159,64
79,3,23325,Vaughn Taylor,2.48,151,61
79,3,47128,Richy Werenski,2.48,139,56
89,-19,35310,Lanto Griffin,2.49,229,92
89,3,01810,Phil Mickelson,2.49,127,51
91,2,39997,Corey Conners,2.50,185,74
91,2,45157,Cam Davis,2.50,145,58
91,2,30163,Henrik Norlander,2.50,185,74
94,3,29974,Branden Grace,2.51,103,41
94,3,21961,Charles Howell III,2.51,173,69
94,3,27936,Martin Laird,2.51,98,39
97,3,25686,Jason Dufner,2.52,156,62
98,3,45609,Tyler Duncan,2.53,210,83
98,3,30944,Jason Kokrak,2.53,157,62
100,3,35461,Beau Hossler,2.54,170,67
100,3,31420,Anirban Lahiri,2.54,89,35
100,3,27330,Josh Teater,2.54,104,41
103,3,49298,Kramer Hickok,2.55,125,49
103,3,47993,Denny McCarthy,2.55,196,77
103,3,23788,D.J. Trahan,2.55,120,47
103,3,35658,Kris Ventura,2.55,112,44
107,3,21209,Sergio Garcia,2.57,113,44
107,3,24924,Bill Haas,2.57,113,44
109,5,32618,Rhein Gibson,2.58,129,50
109,5,32662,Michael Gligic,2.58,124,48
109,1,45486,Joaquin Niemann,2.58,196,76
109,5,56278,Matthew Wolff,2.58,191,74
113,4,33948,Byeong Hun An,2.59,194,75
113,4,19846,Brian Gay,2.59,163,63
113,4,56762,Will Gordon,2.59,83,32
113,4,34563,Chesson Hadley,2.59,150,58
113,4,25493,Nick Taylor,2.59,153,59
113,4,25804,Bubba Watson,2.59,171,66
119,4,25900,Lucas Glover,2.61,175,67
119,4,32448,James Hahn,2.61,94,36
119,4,37455,Si Woo Kim,2.61,193,74
119,4,27942,Rob Oppenheim,2.61,159,61
119,4,33486,Roger Sloan,2.61,133,51
124,4,28420,Ryan Brehm,2.62,131,50
124,4,29268,Bronson Burgoon,2.62,139,53
124,4,29970,Dylan Frittelli,2.62,215,82
124,4,48119,Ben Taylor,2.62,110,42
128,4,46435,Austin Cook,2.63,158,60
128,4,34076,Joel Dahmen,2.63,208,79
128,4,52375,Doug Ghim,2.63,105,40
128,-35,23320,Ryan Palmer,2.63,179,68
128,4,34256,Andrew Putnam,2.63,121,46
133,4,32757,Patton Kizzire,2.64,145,55
134,-24,29420,Billy Horschel,2.65,209,79
134,4,26329,Louis Oosthuizen,2.65,127,48
134,4,24138,Ian Poulter,2.65,127,48
134,4,35732,Wes Roach,2.65,106,40
134,4,39953,Chase Seiffert,2.65,143,54
139,5,35532,Tom Hoge,2.66,197,74
139,-7,35891,Cameron Smith,2.66,170,64
139,5,34431,Robert Streb,2.66,133,50
139,5,48887,Matt Wallace,2.66,117,44
143,4,48045,Michael Gellerman,2.67,112,42
143,4,27214,Kevin Streelman,2.67,195,73
145,4,40058,Zac Blair,2.68,177,66
145,4,32366,Kevin Chappell,2.68,110,41
145,4,26300,Matt Jones,2.68,204,76
145,4,25818,Scott Piercy,2.68,177,66
145,4,23621,Rory Sabbatini,2.68,177,66
150,5,31646,Emiliano Grillo,2.69,175,65
150,5,33490,Bo Hoag,2.69,180,67
150,5,49964,Aaron Wise,2.69,121,45
153,-15,52372,Cameron Champ,2.70,189,70
154,4,51894,Vince Whaley,2.71,103,38
155,4,26499,Rafa Cabrera Bello,2.72,144,53
155,4,29926,Danny Lee,2.72,188,69
157,4,33410,Andrew Landry,2.73,172,63
158,4,46550,Brandon Hagy,2.74,126,46
159,4,35230,Nelson Ledesma,2.75,110,40
160,4,27963,Chris Stroud,2.76,127,46
161,4,29479,Scott Brown,2.77,177,64
162,4,36689,Brooks Koepka,2.78,111,40
163,4,51766,Wyndham Clark,2.79,170,61
163,4,29908,C.T. Pan,2.79,156,56
165,5,34255,Joseph Bramlett,2.81,149,53
166,5,34046,Jordan Spieth,2.82,175,62
166,5,27064,Jhonattan Vegas,2.82,141,50
168,5,30911,Tommy Fleetwood,2.83,113,40
168,5,40042,Tyler McCumber,2.83,150,53
170,5,19803,Ryan Armour,2.84,165,58
170,5,49766,Hank Lebioda,2.84,156,55
170,5,22405,Justin Rose,2.84,108,38
173,5,32254,Xinjun Zhang,2.86,220,77
174,5,21407,Arjun Atwal,2.87,89,31
174,5,27554,Scott Harrington,2.87,195,68
174,5,46441,Robby Shelton,2.87,204,71
177,5,34213,Grayson Murray,2.89,104,36
178,5,25572,Graeme McDowell,2.90,139,48
179,5,23623,Bo Van Pelt,2.91,125,43
180,5,28775,Nate Lashley,2.92,152,52
181,5,40009,Dominic Bozzelli,2.97,107,36
182,5,39546,Keith Mitchell,2.98,191,64
183,5,27974,Sung Kang,3.00,219,73
183,5,33449,Zack Sucher,3.00,108,36
185,5,33141,Keegan Bradley,3.01,205,68
186,5,39324,J.J. Spaun,3.02,175,58
187,7,26851,Marc Leishman,3.16,193,61
188,7,28307,Matt Every,3.18,143,45
188,7,32139,Danny Willett,3.18,127,40
190,8,25632,Jimmy Walker,3.22,148,46
191,8,32333,Kevin Tway,3.27,157,48
192,8,31557,Jim Herman,3.32,199,60
193,8,35617,Martin Trainer,3.87,178,46
