RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,08793,Tiger Woods,1.224,58.772,48
2,0,28237,Rory McIlroy,1.002,40.095,40
3,0,06527,Steve Stricker,.898,48.511,54
4,0,22405,Justin Rose,.840,44.515,53
5,0,10809,Jim Furyk,.830,53.923,65
6,0,23638,Brendon de Jonge,.754,76.931,102
7,0,12510,Chad Campbell,.751,54.857,73
8,0,26679,Kevin Stadler,.711,49.738,70
9,0,20396,Lee Westwood,.681,27.237,40
10,0,24358,Robert Garrigus,.680,50.288,74
11,0,23623,Bo Van Pelt,.665,43.226,65
12,0,25572,Graeme McDowell,.641,24.351,38
13,0,30925,Dustin Johnson,.638,33.823,53
14,0,01706,Davis Love III,.635,33.041,52
15,0,27095,Nick Watney,.586,44.568,76
16,0,23983,Luke Donald,.582,27.931,48
17,0,01810,Phil Mickelson,.566,33.958,60
18,0,26851,Marc Leishman,.559,42.474,76
19,0,28087,Kris Blanks,.558,33.464,60
20,0,10885,Robert Allenby,.537,35.436,66
21,0,06567,Vijay Singh,.520,42.107,81
22,0,25686,Jason Dufner,.519,33.189,64
23,0,24846,Ricky Barnes,.499,40.938,82
24,0,24502,Adam Scott,.494,20.256,41
25,0,23108,Matt Kuchar,.490,32.366,66
26,0,26329,Louis Oosthuizen,.478,23.442,49
27,0,20645,John Senden,.473,29.315,62
28,0,26289,Boo Weekley,.466,27.038,58
29,0,06522,Ernie Els,.462,30.014,65
30,0,23548,Bill Lunde,.449,30.098,67
31,0,26331,Charl Schwartzel,.445,17.810,40
32,0,30926,Chris Kirk,.444,37.755,85
33,0,30110,Kyle Stanley,.439,30.701,70
34,0,22293,Heath Slocum,.427,32.062,75
35,0,22621,Ben Curtis,.408,19.599,48
36,0,24925,Jonathan Byrd,.406,22.731,56
37,0,01320,Bob Estes,.396,25.738,65
38,0,01116,Michael Bradley,.391,21.496,55
39,0,28307,Matt Every,.377,24.097,64
40,0,26951,Johnson Wagner,.376,28.551,76
41,0,24781,Hunter Mahan,.372,23.837,64
42,0,20691,Greg Owen,.367,28.237,77
43,0,12716,Charley Hoffman,.356,27.037,76
44,0,24024,Zach Johnson,.342,25.282,74
45,0,22348,Nick O'Hern,.340,23.114,68
46,0,27436,Graham DeLaet,.334,23.745,71
46,0,25345,Carl Pettersson,.334,26.716,80
48,0,20766,Padraig Harrington,.331,14.904,45
49,0,25240,D.A. Points,.329,26.313,80
50,0,29221,Webb Simpson,.319,21.075,66
51,0,28455,Will Claxton,.318,27.373,86
52,0,32150,Michael Thompson,.317,20.625,65
53,0,20104,Ken Duke,.309,27.766,90
54,0,21731,Freddie Jacobson,.306,13.458,44
55,0,25396,Kevin Na,.301,19.559,65
56,0,21528,Henrik Stenson,.297,12.487,42
57,0,24361,Pat Perez,.272,18.760,69
58,0,26596,Ryan Moore,.270,21.846,81
59,0,25804,Bubba Watson,.265,13.529,51
60,0,23320,Ryan Palmer,.258,18.300,71
