RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,27649,Brandt Snedeker,.860,55.901,65
2,0,23983,Luke Donald,.818,39.258,48
3,0,27895,Jonas Blixt,.804,51.477,64
4,0,19846,Brian Gay,.704,54.888,78
5,0,23800,Bryce Molder,.666,47.290,71
6,0,28500,Martin Flores,.656,53.826,82
7,0,27797,Derek Lamely,.636,35.620,56
8,0,22371,Aaron Baddeley,.604,33.197,55
9,0,20623,Gavin Coles,.591,33.670,57
10,0,24024,Zach Johnson,.568,42.000,74
11,0,01810,Phil Mickelson,.562,33.707,60
12,0,23623,Bo Van Pelt,.542,35.208,65
13,0,28089,Jason Day,.526,24.741,47
14,0,24663,Y.E. Yang,.516,24.781,48
15,0,20593,Greg Chalmers,.506,37.934,75
16,0,22621,Ben Curtis,.505,24.238,48
17,0,23108,Matt Kuchar,.472,31.151,66
18,0,23320,Ryan Palmer,.453,32.168,71
19,0,25345,Carl Pettersson,.444,35.496,80
20,0,23409,James Driscoll,.434,30.362,70
21,0,23541,Ben Crane,.432,26.762,62
22,0,30927,Brendon Todd,.427,26.891,63
22,0,25632,Jimmy Walker,.427,38.829,91
24,0,26596,Ryan Moore,.424,34.312,81
25,0,10809,Jim Furyk,.423,27.493,65
26,0,21209,Sergio Garcia,.400,17.601,44
27,0,21753,Brian Davis,.370,29.211,79
28,0,32150,Michael Thompson,.355,23.097,65
29,0,21350,Ryuji Imada,.351,24.242,69
30,0,20104,Ken Duke,.349,31.447,90
31,0,26951,Johnson Wagner,.346,26.284,76
32,0,08793,Tiger Woods,.339,16.282,48
33,0,22961,David Mathis,.338,23.324,69
34,0,20850,Daniel Chopra,.331,14.231,43
35,0,33141,Keegan Bradley,.330,23.445,71
35,0,27466,Spencer Levin,.330,21.790,66
37,0,29478,Kevin Kisner,.303,16.053,53
38,0,20229,Stewart Cink,.301,16.239,54
39,0,28475,Jeff Overton,.293,26.961,92
40,0,31202,William McGirt,.282,22.289,79
41,0,20160,Charlie Wi,.279,20.398,73
42,0,29222,Billy Hurley III,.276,15.721,57
43,0,24925,Jonathan Byrd,.262,14.686,56
44,0,26758,David Hearn,.261,23.003,88
45,0,06573,Brandt Jobe,.257,11.553,45
46,0,23718,Nathan Green,.248,14.162,57
47,0,24490,George McNeill,.238,16.899,71
47,0,22046,Geoff Ogilvy,.238,13.063,55
