RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,01876,Greg Norman,3.46,205,592
2,0,01444,Ken Green,3.34,386,1156
3,0,01717,Sandy Lyle,3.32,238,717
4,0,01042,Paul Azinger,3.31,370,1117
5,0,01226,Fred Couples,3.29,416,1265
6,0,02133,Craig Stadler,3.27,273,834
7,0,02146,Payne Stewart,3.25,412,1269
8,0,01960,Don Pooley,3.24,281,868
9,0,01161,Mark Calcavecchia,3.23,461,1426
10,0,01968,Nick Price,3.19,313,981
11,0,01361,Dan Forsman,3.17,465,1467
11,0,02033,Dave Rummells,3.17,432,1362
11,0,02242,Lanny Wadkins,3.17,355,1120
14,0,02225,Howard Twitty,3.16,392,1240
15,0,01072,Chip Beck,3.14,371,1182
15,0,01864,Larry Nelson,3.14,258,822
17,0,01599,Steve Jones,3.12,313,1003
18,0,01553,John Huston,3.11,336,1082
19,0,01329,Brad Faxon,3.10,329,1060
20,0,02007,Larry Rinker,3.09,351,1137
20,0,02223,Bob Tway,3.09,398,1286
22,0,01633,Tom Kite,3.08,333,1080
22,0,01884,Mac O'Grady,3.08,221,718
24,0,01414,Bob Gilder,3.07,316,1030
24,0,02279,Mark Wiebe,3.07,434,1414
26,0,01310,Dave Eichelberger,3.06,323,1057
27,0,01235,Ben Crenshaw,3.05,375,1231
27,0,01378,David Frost,3.05,325,1067
29,0,02167,Mike Sullivan,3.04,334,1100
30,0,02229,Brett Upper,3.03,267,881
31,0,01682,Wayne Levi,3.02,304,1008
31,0,02041,Bill Sander,3.02,283,936
33,0,01157,Tom Byrum,3.01,408,1356
33,0,02101,Joey Sindelar,3.01,413,1372
33,0,02321,Fuzzy Zoeller,3.01,283,939
36,0,01355,Raymond Floyd,3.00,232,773
37,0,01156,Curt Byrum,2.99,356,1190
38,0,01200,Keith Clearwater,2.98,294,988
38,0,01887,Mark O'Meara,2.98,328,1102
40,0,01527,Scott Hoch,2.97,411,1382
40,0,01639,Kenny Knox,2.97,387,1303
40,0,02090,Tom Sieckmann,2.97,275,925
43,0,01175,Jim Carter,2.96,329,1112
43,0,01706,Davis Love III,2.96,313,1057
43,0,01846,Jodie Mudd,2.96,367,1240
43,0,01941,Tom Pernice Jr.,2.96,293,990
47,0,01984,Sam Randolph,2.95,260,881
48,0,01096,Phil Blackmar,2.94,244,829
48,0,01443,Hubert Green,2.94,230,781
48,0,01495,Morris Hatalsky,2.94,241,819
48,0,01707,Steve Lowery,2.94,323,1100
48,0,01723,Andrew Magee,2.94,318,1081
48,0,02239,Scott Verplank,2.94,340,1158
54,0,02104,Jeff Sluman,2.93,417,1425
54,0,02159,Curtis Strange,2.93,313,1069
56,0,01129,Bill Britton,2.92,332,1138
56,0,01701,Bob Lohr,2.92,405,1387
56,0,01755,Dick Mast,2.92,347,1190
56,0,01928,Corey Pavin,2.92,284,972
60,0,01468,Gary Hallberg,2.91,192,659
60,0,01662,Greg Ladehoff,2.91,337,1158
60,0,02023,Clarence Rose,2.91,385,1322
63,0,01077,Mike Bender,2.90,267,921
64,0,01098,Jay Don Blake,2.89,378,1309
64,0,01926,Steve Pate,2.89,368,1275
64,0,01945,Kenny Perry,2.89,358,1240
67,0,01024,Billy Andrade,2.88,315,1095
67,0,02049,Gene Sauers,2.88,377,1311
67,0,02241,Bobby Wadkins,2.88,404,1404
70,0,01313,Steve Elkington,2.87,318,1109
71,0,01035,Tommy Armour III,2.86,319,1115
71,0,01475,Donnie Hammond,2.86,361,1261
71,0,01964,Greg Powers,2.86,176,616
71,0,02170,Hal Sutton,2.86,306,1071
71,0,02186,Brian Tennyson,2.86,334,1166
71,0,02256,Tom Watson,2.86,229,800
77,0,01197,Bobby Clampett,2.85,287,1007
77,0,01323,Brad Fabel,2.85,328,1152
77,0,01346,Ed Fiori,2.85,374,1311
80,0,01418,Bill Glasson,2.83,309,1092
81,0,01549,Mike Hulbert,2.82,396,1406
81,0,02294,Willie Wood,2.82,239,847
81,0,02313,Bruce Zabriski,2.82,248,879
84,0,01331,Rick Fehr,2.81,232,826
84,0,01858,Tommy Nakajima,2.81,173,615
84,0,01975,Tom Purtzer,2.81,280,996
84,0,02255,Denis Watson,2.81,232,825
88,0,01135,Ken Brown,2.80,211,753
88,0,01150,George Burns,2.80,164,585
88,0,01385,Jim Gallagher Jr.,2.80,215,768
88,0,01771,Blaine McCallister,2.80,370,1322
88,0,01783,Mark McCumber,2.80,286,1022
93,0,01641,Gary Koch,2.79,256,918
93,0,01725,John Mahaffey,2.79,364,1303
93,0,01823,Larry Mize,2.79,272,974
96,0,01690,Bruce Lietzke,2.78,313,1124
96,0,01837,Gil Morgan,2.78,266,957
96,0,02185,Lance Ten Broeck,2.78,260,934
96,0,02192,Steve Thomas,2.78,232,836
100,0,01305,Danny Edwards,2.77,194,700
100,0,02244,Fred Wadsworth,2.77,203,732
100,0,02303,Robert Wrenn,2.77,358,1291
103,0,01457,Jay Haas,2.76,339,1227
103,0,01797,Rocco Mediate,2.76,366,1328
105,0,01033,George Archer,2.75,307,1117
105,0,01086,Roy Biancalana,2.75,222,806
105,0,01093,Ronnie Black,2.75,281,1022
105,0,01133,Billy Ray Brown,2.75,328,1193
105,0,01219,John Cook,2.75,331,1205
110,0,01203,Russ Cochran,2.74,357,1302
110,0,02148,Ray Stewart,2.74,296,1080
112,0,02010,Loren Roberts,2.73,310,1134
112,0,02160,Ron Streck,2.73,216,792
114,0,01143,Brad Bryant,2.72,268,987
114,0,01891,David Ogrin,2.72,303,1115
116,0,01132,Mark Brooks,2.71,327,1206
116,0,01569,Peter Jacobsen,2.71,295,1090
116,0,01790,Pat McGowan,2.71,288,1064
116,0,01970,Bob Proben,2.71,242,893
120,0,01068,Andy Bean,2.69,151,562
120,0,02267,D.A. Weibring,2.69,263,978
122,0,01499,Mark Hayes,2.68,320,1194
