RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,19846,Brian Gay,25.63,264,1030,+0.034
2,0,08075,Jerry Kelly,23.10,219,948,-0.032
3,0,26420,Richard Johnson,22.52,170,755,+0.159
4,0,12602,Dean Wilson,22.47,178,792,+0.073
5,0,10505,Shane Bertsch,20.88,152,728,+0.112
6,0,06643,Paul Goydos,20.54,212,1032,+0.179
7,0,01797,Rocco Mediate,19.29,130,674,+0.054
8,0,25834,Daniel Summerhays,19.13,176,920,+0.153
9,0,33911,Nate Smith,18.62,138,741,+0.261
10,0,25444,Justin Hicks,18.34,113,616,+0.159
11,0,24024,Zach Johnson,18.19,163,896,+0.006
11,0,22348,Nick O'Hern,18.19,193,1061,-0.005
13,0,20593,Greg Chalmers,18.15,200,1102,-0.020
14,0,23800,Bryce Molder,18.08,179,990,+0.061
15,0,10860,Justin Leonard,17.77,183,1030,+0.153
16,0,30711,Colt Knost,17.63,165,936,+0.115
17,0,27939,Matt McQuillan,17.44,117,671,+0.128
18,0,23673,Michael Connell,17.20,173,1006,+0.058
18,0,23718,Nathan Green,17.20,168,977,+0.202
20,0,22621,Ben Curtis,17.09,148,866,+0.068
21,0,02206,David Toms,17.07,140,820,-0.043
22,0,25396,Kevin Na,17.02,161,946,+0.075
23,0,20436,Garrett Willis,16.72,149,891,+0.255
24,0,23983,Luke Donald,16.62,121,728,-0.124
25,0,20472,Alex Cejka,16.56,108,652,E
26,0,01948,Tim Petrovic,16.48,177,1074,+0.130
27,0,22961,David Mathis,16.45,161,979,+0.050
28,0,26668,Marc Turnesa,15.96,102,639,+0.196
29,0,24507,Jason Bohn,15.92,150,942,+0.067
30,0,06004,Stephen Ames,15.91,133,836,+0.090
31,0,06251,Chris DiMarco,15.90,182,1145,+0.137
32,0,20127,Chris Riley,15.61,148,948,+0.149
33,0,24290,D.J. Brigman,15.45,119,770,+0.176
33,0,24138,Ian Poulter,15.45,85,550,+0.094
