RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,19846,Brian Gay,26.83,44,164,-0.02
2,0,12602,Dean Wilson,20.16,25,124,-0.08
3,0,01797,Rocco Mediate,19.81,21,106,+0.05
4,0,26420,Richard Johnson,17.24,20,116,+0.25
5,0,20436,Garrett Willis,14.49,20,138,+0.45
6,0,06251,Chris DiMarco,14.04,25,178,+0.08
7,0,24024,Zach Johnson,13.97,19,136,+0.11
8,0,06643,Paul Goydos,13.58,22,162,+0.41
9,0,10505,Shane Bertsch,13.39,15,112,+0.40
10,0,08075,Jerry Kelly,13.16,20,152,-0.10
11,0,22621,Ben Curtis,12.50,16,128,+0.13
11,0,10809,Jim Furyk,12.50,19,152,-0.16
11,0,25444,Justin Hicks,12.50,12,96,+0.08
14,0,22961,David Mathis,12.34,19,154,-0.05
15,0,25396,Kevin Na,12.18,19,156,-0.05
16,0,12652,Cameron Beckman,11.94,16,134,+0.06
17,0,10860,Justin Leonard,11.88,19,160,+0.16
18,0,25834,Daniel Summerhays,11.64,17,146,+0.06
19,0,24138,Ian Poulter,11.63,10,86,-0.20
20,0,22348,Nick O'Hern,11.45,19,166,+0.05
20,0,01948,Tim Petrovic,11.45,19,166,+0.53
22,0,07867,Woody Austin,11.32,12,106,+0.08
23,0,23673,Michael Connell,11.18,17,152,+0.06
24,0,20127,Chris Riley,11.11,16,144,+0.19
25,0,02206,David Toms,11.03,15,136,+0.07
26,0,33911,Nate Smith,10.83,13,120,+0.38
27,0,28620,Aron Price,10.58,11,104,E
28,0,21753,Brian Davis,10.19,21,206,-0.24
29,0,30711,Colt Knost,10.14,15,148,+0.33
30,0,27939,Matt McQuillan,10.00,11,110,E
30,0,23800,Bryce Molder,10.00,16,160,+0.19
32,0,22293,Heath Slocum,9.76,16,164,+0.06
33,0,20472,Alex Cejka,9.43,10,106,+0.10
34,0,07457,Steve Flesch,8.93,15,168,E
35,0,24925,Jonathan Byrd,8.55,13,152,-0.15
36,0,08537,J.P. Hayes,8.33,9,108,+0.22
36,0,08375,Paul Stankowski,8.33,12,144,E
38,0,26881,Jarrod Lyle,8.23,13,158,+0.46
38,0,21878,Mark Wilson,8.23,13,158,-0.38
40,0,22378,Trevor Immelman,8.11,12,148,+0.08
41,0,26668,Marc Turnesa,8.00,8,100,+0.63
42,0,23983,Luke Donald,7.89,9,114,-0.44
43,0,10733,Kent Jones,7.75,11,142,+0.27
44,0,24357,K.J. Choi,7.69,10,130,+0.10
45,0,06515,Shaun Micheel,7.53,11,146,+0.36
46,0,06522,Ernie Els,7.38,9,122,+0.56
47,0,23325,Vaughn Taylor,7.30,13,178,+0.31
48,0,29420,Billy Horschel,7.25,10,138,+0.30
49,0,20160,Charlie Wi,7.23,12,166,-0.08
50,0,28087,Kris Blanks,7.22,13,180,-0.08
50,0,01766,Billy Mayfair,7.22,13,180,+0.15
