RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,08793,Tiger Woods,+3.04,68.84,71.88
2,0,06527,Steve Stricker,+1.77,69.51,71.28
3,0,10809,Jim Furyk,+1.59,70.02,71.61
4,0,24024,Zach Johnson,+1.39,69.82,71.21
5,0,24781,Hunter Mahan,+1.31,70.11,71.42
6,0,23135,Tim Clark,+1.26,69.68,70.94
7,0,01945,Kenny Perry,+1.25,70.14,71.39
8,0,02206,David Toms,+1.14,69.76,70.90
9,0,27095,Nick Watney,+1.12,70.38,71.50
10,0,20157,Retief Goosen,+1.11,70.71,71.82
11,0,23983,Luke Donald,+1.10,70.47,71.57
12,0,24138,Ian Poulter,+1.08,70.84,71.92
13,0,27770,Camilo Villegas,+1.07,70.82,71.89
14,0,28089,Jason Day,+1.05,70.08,71.13
14,0,24140,Sean O'Hair,+1.05,70.45,71.50
16,0,23108,Matt Kuchar,+1.03,70.10,71.13
17,0,20645,John Senden,+1.00,70.18,71.18
18,0,28158,Steve Marino,+.98,70.09,71.07
18,0,01810,Phil Mickelson,+.98,70.83,71.81
20,0,25900,Lucas Glover,+.96,70.34,71.30
21,0,25396,Kevin Na,+.95,70.21,71.16
22,0,20766,Padraig Harrington,+.94,71.05,71.99
22,0,10860,Justin Leonard,+.94,69.91,70.85
24,0,10885,Robert Allenby,+.91,70.81,71.72
24,0,06522,Ernie Els,+.91,70.76,71.67
26,0,22046,Geoff Ogilvy,+.88,70.68,71.56
27,0,06004,Stephen Ames,+.87,70.19,71.06
28,0,21209,Sergio Garcia,+.84,70.62,71.46
28,0,30925,Dustin Johnson,+.84,70.48,71.32
30,0,02239,Scott Verplank,+.80,69.99,70.79
31,0,08075,Jerry Kelly,+.78,70.01,70.79
32,0,25686,Jason Dufner,+.74,70.48,71.22
32,0,10423,Mike Weir,+.74,70.42,71.16
34,0,12716,Charley Hoffman,+.72,70.32,71.04
35,0,20848,Ángel Cabrera,+.71,71.15,71.86
36,0,23541,Ben Crane,+.69,70.34,71.03
37,0,24925,Jonathan Byrd,+.67,70.31,70.98
38,0,23623,Bo Van Pelt,+.66,70.12,70.78
39,0,24490,George McNeill,+.65,70.41,71.06
39,0,06595,Kevin Sutherland,+.65,70.71,71.36
39,0,24663,Y.E. Yang,+.65,70.72,71.37
42,0,22405,Justin Rose,+.64,70.79,71.43
42,0,21878,Mark Wilson,+.64,70.21,70.85
44,0,25804,Bubba Watson,+.62,70.82,71.44
45,0,07867,Woody Austin,+.59,70.68,71.27
45,0,21961,Charles Howell III,+.59,70.62,71.21
47,0,29718,Anthony Kim,+.58,70.62,71.20
47,0,01706,Davis Love III,+.58,70.69,71.27
47,0,27649,Brandt Snedeker,+.58,70.57,71.15
50,0,12510,Chad Campbell,+.57,70.31,70.88
51,0,23800,Bryce Molder,+.54,70.12,70.66
51,0,20572,Rod Pampling,+.54,70.85,71.39
53,0,23621,Rory Sabbatini,+.53,70.61,71.14
54,0,24924,Bill Haas,+.51,70.36,70.87
55,0,01320,Bob Estes,+.49,70.49,70.98
56,0,26596,Ryan Moore,+.48,70.46,70.94
56,0,26289,Boo Weekley,+.48,70.88,71.36
58,0,23353,J.J. Henry,+.47,70.44,70.91
59,0,19846,Brian Gay,+.46,70.34,70.80
60,0,01226,Fred Couples,+.44,70.65,71.09
61,0,20229,Stewart Cink,+.43,71.10,71.53
62,0,20593,Greg Chalmers,+.41,69.99,70.40
63,0,20160,Charlie Wi,+.40,70.46,70.86
64,0,06197,Michael Allen,+.39,70.74,71.13
64,0,22348,Nick O'Hern,+.39,70.39,70.78
64,0,28475,Jeff Overton,+.39,71.10,71.49
67,0,26300,Matt Jones,+.37,70.32,70.69
67,0,20127,Chris Riley,+.37,70.13,70.50
69,0,27060,John Mallinger,+.36,70.77,71.13
69,0,01948,Tim Petrovic,+.36,70.42,70.78
71,0,06567,Vijay Singh,+.35,71.13,71.48
72,0,22621,Ben Curtis,+.34,71.63,71.97
73,0,21805,Harrison Frazar,+.33,70.19,70.52
73,0,24361,Pat Perez,+.33,70.82,71.15
75,0,20498,Briny Baird,+.32,70.42,70.74
75,0,21731,Freddie Jacobson,+.32,70.65,70.97
75,0,26851,Marc Leishman,+.32,70.60,70.92
75,0,26695,Michael Letzig,+.32,70.51,70.83
75,0,10585,Scott McCarron,+.32,70.56,70.88
80,0,24503,Jeff Klauk,+.31,70.57,70.88
80,0,26679,Kevin Stadler,+.31,70.43,70.74
82,0,08845,Scott Sterling,+.30,70.51,70.81
83,0,27120,Troy Matteson,+.29,70.57,70.86
84,0,20691,Greg Owen,+.28,70.32,70.60
85,0,24358,Robert Garrigus,+.27,70.42,70.69
85,0,27214,Kevin Streelman,+.27,70.51,70.78
87,0,26301,James Nitties,+.25,70.67,70.92
87,0,25818,Scott Piercy,+.25,70.69,70.94
87,0,23788,D.J. Trahan,+.25,70.50,70.75
90,0,24507,Jason Bohn,+.24,70.41,70.65
91,0,21753,Brian Davis,+.23,70.53,70.76
91,0,20574,Mathew Goggin,+.23,71.07,71.30
91,0,06643,Paul Goydos,+.23,71.04,71.27
91,0,29221,Webb Simpson,+.23,70.71,70.94
95,0,23548,Bill Lunde,+.22,70.43,70.65
