RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,06004,Stephen Ames,12' 1",1695.500,140,43,11"
2,0,30711,Colt Knost,11' 10",1885.417,159,52,3"
3,0,27556,Ted Potter Jr.,11' 5",2061.917,180,72,4"
4,0,34261,Scott Langley,11' 2",2093.667,188,34,5"
5,0,01116,Michael Bradley,11' 1",1285.750,116,62,7"
6,0,20098,Stuart Appleby,11' 0",2687.417,245,57,5"
6,0,20104,Ken Duke,11' 0",2586.167,235,70,2"
6,0,36884,Ben Kohles,11' 0",1896.167,173,47,4"
9,0,23788,D.J. Trahan,10' 11",1303.333,119,35,7"
10,0,32102,Rickie Fowler,10' 10",2190.667,202,48,6"
10,0,22792,Peter Hanson,10' 10",1260.167,116,56,10"
10,0,22806,Doug LaBelle II,10' 10",2031.083,188,52,1"
13,0,01320,Bob Estes,10' 9",2077.833,194,58,5"
13,0,12782,Tim Herron,10' 9",1371.333,128,48,8"
15,0,24227,Justin Bolli,10' 8",1310.750,123,41,6"
15,0,23409,James Driscoll,10' 8",2337.833,220,54,5"
15,0,34098,Russell Henley,10' 8",2504.833,235,65,2"
15,0,24024,Zach Johnson,10' 8",2500.167,234,44,3"
15,0,25572,Graeme McDowell,10' 8",1212.667,114,71,3"
15,0,26951,Johnson Wagner,10' 8",1474.000,138,59,2"
21,0,22371,Aaron Baddeley,10' 7",2016.000,190,67,3"
21,0,24494,Erik Compton,10' 7",2075.417,196,55,4"
21,0,24924,Bill Haas,10' 7",2489.333,236,53,4"
21,0,28135,Aaron Watkins,10' 7",1178.000,111,51,1
25,0,24507,Jason Bohn,10' 6",2438.667,233,57,1"
25,0,26851,Marc Leishman,10' 6",2174.083,207,85,1"
27,0,28259,Sangmoon Bae,10' 5",2764.833,266,36,2"
27,0,35539,Luke Guthrie,10' 5",2257.333,216,45,2"
27,0,24140,Sean O'Hair,10' 5",1424.333,137,58,5"
27,0,20443,Jin Park,10' 5",1291.833,124,50,5"
27,0,23497,Tag Ridings,10' 5",1888.917,182,43,4"
27,0,29425,Andrew Svoboda,10' 5",1108.167,106,49,7"
27,0,26497,Casey Wittenberg,10' 5",1728.833,166,48,4"
34,0,27408,Martin Kaymer,10' 4",1385.417,134,59,6"
34,0,28092,D.H. Lee,10' 4",1908.333,184,46,4"
34,0,35139,Richard Lee,10' 4",2340.333,226,53,5"
34,0,10860,Justin Leonard,10' 4",2504.667,243,51,3"
34,0,01724,Jeff Maggert,10' 4",1853.667,180,70,8"
34,0,22295,Darron Stiles,10' 4",1180.833,114,56,1
34,0,34431,Robert Streb,10' 4",1984.417,192,44,4"
34,0,10423,Mike Weir,10' 4",1492.417,144,57,5"
42,0,22621,Ben Curtis,10' 3",1367.500,133,70,4"
42,0,08725,Tom Gillis,10' 3",1778.417,173,51,3"
42,0,27933,John Merrick,10' 3",2216.667,216,47,1"
42,0,25345,Carl Pettersson,10' 3",2171.667,212,59,5"
46,0,27895,Jonas Blixt,10' 2",1994.583,196,48,3"
46,0,20848,Ángel Cabrera,10' 2",1932.917,190,50,3"
46,0,22046,Geoff Ogilvy,10' 2",1301.083,128,47,7"
46,0,27649,Brandt Snedeker,10' 2",2287.500,225,61,3"
