RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,23135,Tim Clark,37' 1",79186,178,6598.833,+8.00
2,0,22405,Justin Rose,37' 5",86213,192,7184.417,-14.00
3,0,02206,David Toms,37' 8",91306,202,7608.833,+21.00
4,0,01724,Jeff Maggert,39' 3",65014,138,5417.833,+16.00
5,0,22293,Heath Slocum,39' 6",100433,212,8369.417,+38.00
6,0,01381,Fred Funk,39' 7",72218,152,6018.167,+15.00
6,0,08385,Omar Uresti,39' 7",96857,204,8071.417,+29.00
8,0,06621,Joe Durant,39' 8",88942,187,7411.833,+21.00
9,0,20628,Arron Oberholser,40' 2",79537,165,6628.083,+22.00
10,0,01577,Lee Janzen,40' 7",113584,233,9465.333,+38.00
11,0,23063,Scott Hend,40' 9",139746,286,11645.500,+59.00
12,0,22913,John Rollins,40' 11",94238,192,7853.167,+26.00
13,0,01161,Mark Calcavecchia,41' 2",87496,177,7291.333,+24.00
14,0,06567,Vijay Singh,41' 4",151283,305,12606.917,-4.00
15,0,24925,Jonathan Byrd,41' 5",127651,257,10637.583,+28.00
15,0,25345,Carl Pettersson,41' 5",134576,271,11214.667,+9.00
15,0,10425,Jay Williamson,41' 5",132603,267,11050.250,+39.00
18,0,06575,Dudley Hart,41' 6",69709,140,5809.083,+14.00
18,0,23621,Rory Sabbatini,41' 6",129913,261,10826.083,+13.00
20,0,21209,Sergio Garcia,41' 7",90746,182,7562.167,+13.00
20,0,23552,Hank Kuehne,41' 7",181521,364,15126.750,+24.00
20,0,02214,Kirk Triplett,41' 7",81400,163,6783.333,+19.00
23,0,20498,Briny Baird,41' 8",119578,239,9964.833,+29.00
24,0,21407,Arjun Atwal,41' 9",132179,264,11014.917,+58.00
24,0,23613,Rich Barcelo,41' 9",114820,229,9568.333,+33.00
24,0,01226,Fred Couples,41' 9",82169,164,6847.417,+35.00
27,0,23614,Rich Beem,41' 10",97473,194,8122.750,+26.00
28,0,20098,Stuart Appleby,41' 11",100598,200,8383.167,+7.00
28,0,01677,Tom Lehman,41' 11",82992,165,6916.000,+20.00
30,0,01127,Danny Briggs,42' 0",127612,253,10634.333,+29.00
31,0,21731,Freddie Jacobson,42' 1",122813,243,10234.417,+26.00
31,0,11032,Frank Lickliter II,42' 1",115185,228,9598.750,+28.00
31,0,21949,Joe Ogilvie,42' 1",150022,297,12501.833,+24.00
31,0,24361,Pat Perez,42' 1",140270,278,11689.167,+40.00
31,0,02101,Joey Sindelar,42' 1",137233,272,11436.083,+34.00
36,0,07223,Brian Bateman,42' 2",118864,235,9905.333,+24.00
37,0,01203,Russ Cochran,42' 3",92833,183,7736.083,+23.00
38,0,19824,Craig Barlow,42' 4",94950,187,7912.500,+20.00
38,0,20850,Daniel Chopra,42' 4",186313,367,15526.083,+50.00
38,0,01666,Bernhard Langer,42' 4",68570,135,5714.167,+19.00
41,0,20585,Niclas Fasth,42' 5",86537,170,7211.417,+16.00
41,0,01388,Robert Gamez,42' 5",146456,288,12204.667,+55.00
43,0,06251,Chris DiMarco,42' 6",111712,219,9309.333,+37.00
