RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,48084,Wesley Bryan,156.1,2180937,388
2,0,54421,Garrick Higgo,157.8,4032476,710
3,0,56149,Wilson Furr,157.9,2961039,521
4,0,55893,Sam Stevens,158.0,5147355,905
5,0,27770,Camilo Villegas,158.4,2800053,491
6,0,35617,Martin Trainer,158.8,2613249,457
7,0,48699,Callum Tarren,158.9,3614756,632
8,0,32366,Kevin Chappell,159.0,2609568,456
9,0,27214,Kevin Streelman,159.1,3626401,633
9,0,45242,Kevin Yu,159.1,4375552,764
11,0,50484,Hayden Springer,159.5,3530953,615
12,0,50095,Austin Smotherman,159.6,2585042,450
12,0,50493,Justin Suh,159.6,3833111,667
14,0,33486,Roger Sloan,159.7,3587754,624
15,0,47983,Chad Ramey,159.8,4470181,777
16,0,52372,Cameron Champ,159.9,3200163,556
16,0,47995,Davis Riley,159.9,4369215,759
18,0,39546,Keith Mitchell,160.1,4727381,820
19,0,54576,Patrick Fishburn,160.3,3763452,652
19,0,47988,Nick Hardy,160.3,4950226,858
21,0,60067,Joe Highsmith,160.6,3655019,632
21,0,48319,Tom Whitney,160.6,3184689,551
23,0,37378,Min Woo Lee,160.7,3707611,641
24,0,59836,Pierceson Coody,160.8,3890718,672
25,0,28420,Ryan Brehm,161.4,3004732,517
25,0,50497,Adrien Dumont de Chassart,161.4,3770148,649
25,0,39975,Michael Kim,161.4,4019592,692
25,0,32333,Kevin Tway,161.4,2998517,516
29,0,34563,Chesson Hadley,161.5,4034255,694
29,0,47806,Raul Pereda,161.5,2430365,418
31,0,34076,Joel Dahmen,161.9,4889261,839
32,0,60004,Jacob Bridgeman,162.0,3807610,653
32,0,34021,Bud Cauley,162.0,3592737,616
32,0,35461,Beau Hossler,162.0,5247387,900
32,0,27936,Martin Laird,162.0,3854323,661
32,0,46442,Maverick McNealy,162.0,5267672,903
32,0,46340,Alex Smalley,162.0,3861064,662
38,0,34255,Joseph Bramlett,162.1,4744366,813
38,0,51894,Vince Whaley,162.1,3506145,601
40,0,59095,Chris Gotterup,162.2,4331914,742
40,0,59143,Mac Meissner,162.2,4392123,752
40,0,38991,Alejandro Tosti,162.2,3620872,620
43,0,29908,C.T. Pan,162.3,3850615,659
43,0,48119,Ben Taylor,162.3,3547408,607
45,0,12716,Charley Hoffman,162.4,3841552,657
45,0,51997,Andrew Novak,162.4,5214115,892
45,0,39327,Ben Silverman,162.4,4892026,837
48,0,34374,Erik Barnes,162.5,2855473,488
48,0,47663,Kevin Dougherty,162.5,3281650,561
48,0,32757,Patton Kizzire,162.5,3440599,588
48,0,36699,Patrick Rodgers,162.5,5954158,1018
52,0,34587,Chan Kim,162.6,4752600,812
53,0,47591,Eric Cole,162.8,6225169,1062
53,0,51696,Rico Hoey,162.8,4376837,747
53,0,28775,Nate Lashley,162.8,4231468,722
53,0,48867,Matti Schmid,162.8,4056299,692
57,0,59442,Parker Coody,162.9,3354118,572
57,0,34466,Peter Malnati,162.9,4549787,776
59,0,39971,Sungjae Im,163.0,5141383,876
59,0,32640,Troy Merritt,163.0,3737440,637
61,0,51977,Max Greyserman,163.1,4209728,717
62,0,27129,Luke List,163.2,4318327,735
62,0,52513,Carson Young,163.2,4812027,819
64,0,23108,Matt Kuchar,163.3,4651448,791
