RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,48084,Wesley Bryan,160.4,3614497.000,626
2,0,33486,Roger Sloan,162.1,5637521.000,966
3,0,54421,Garrick Higgo,162.2,6555921.000,1123
4,0,50497,Adrien Dumont de Chassart,162.5,6041873.000,1033
5,0,27214,Kevin Streelman,162.9,5971206.000,1018
5,0,27770,Camilo Villegas,162.9,4603454.000,785
7,0,55893,Sam Stevens,163.5,8411033.000,1429
7,0,35617,Martin Trainer,163.5,4303866.000,731
9,0,56149,Wilson Furr,163.8,4830349.000,819
10,0,59836,Pierceson Coody,163.9,6503180.000,1102
11,0,54576,Patrick Fishburn,164.1,5932415.000,1004
11,0,50484,Hayden Springer,164.1,5901358.000,999
13,0,34076,Joel Dahmen,164.2,7721041.000,1306
14,0,50493,Justin Suh,164.3,6489762.000,1097
15,0,48699,Callum Tarren,164.5,6141360.000,1037
16,0,32366,Kevin Chappell,164.6,4336814.000,732
17,0,23108,Matt Kuchar,164.7,7080434.000,1194
18,0,39975,Michael Kim,164.8,6649695.000,1121
18,0,27936,Martin Laird,164.8,6127497.000,1033
18,0,39327,Ben Silverman,164.8,7550252.000,1273
18,0,51894,Vince Whaley,164.8,5736080.000,967
22,0,32757,Patton Kizzire,164.9,5615209.000,946
22,0,34466,Peter Malnati,164.9,7205339.000,1214
22,0,50095,Austin Smotherman,164.9,4030020.000,679
25,0,47983,Chad Ramey,165.0,7318577.000,1232
25,0,47995,Davis Riley,165.0,7377325.000,1242
27,0,46442,Maverick McNealy,165.3,8432630.000,1417
28,0,47988,Nick Hardy,165.4,8108041.000,1362
28,0,36699,Patrick Rodgers,165.4,9493656.000,1594
28,0,45242,Kevin Yu,165.4,7038052.000,1182
31,0,34374,Erik Barnes,165.6,4660879.000,782
31,0,55789,Taylor Montgomery,165.6,4991252.000,837
31,0,36871,Matt NeSmith,165.6,6599903.000,1107
31,0,27330,Josh Teater,165.6,4048280.000,679
35,0,12716,Charley Hoffman,165.7,6527737.000,1094
36,0,59095,Chris Gotterup,165.8,7013335.000,1175
37,0,60767,Blaine Hale Jr.,165.9,4074082.000,682
37,0,52513,Carson Young,165.9,7925309.000,1327
39,0,52372,Cameron Champ,166.0,5246152.000,878
39,0,59143,Mac Meissner,166.0,6954839.000,1164
39,0,32640,Troy Merritt,166.0,6178026.000,1034
39,0,48119,Ben Taylor,166.0,5759661.000,964
43,0,60067,Joe Highsmith,166.1,6181274.000,1034
43,0,46113,Ryan McCormick,166.1,5036045.000,842
43,0,39546,Keith Mitchell,166.1,8112555.000,1357
46,0,28775,Nate Lashley,166.3,6646707.000,1110
46,0,55454,Carl Yuan,166.3,5748441.000,960
48,0,52514,Trace Crowe,166.4,5668419.000,946
48,0,32333,Kevin Tway,166.4,4826888.000,806
50,0,57900,Chandler Phillips,166.5,8011733.000,1337
50,0,38991,Alejandro Tosti,166.5,6492224.000,1083
52,0,37212,Paul Barjon,166.6,4672410.000,779
52,0,34021,Bud Cauley,166.6,5475928.000,913
54,0,57975,Harry Hall,166.8,7637887.000,1272
54,0,27649,Brandt Snedeker,166.8,5543559.000,923
54,0,52374,Brandon Wu,166.8,6726879.000,1120
57,0,60004,Jacob Bridgeman,166.9,6429110.000,1070
57,0,47663,Kevin Dougherty,166.9,5382796.000,896
59,0,51977,Max Greyserman,167.0,6864854.000,1142
59,0,34563,Chesson Hadley,167.0,6541415.000,1088
59,0,51696,Rico Hoey,167.0,7196672.000,1197
62,0,59442,Parker Coody,167.1,5160731.000,858
62,0,27139,David Skinns,167.1,7332747.000,1219
64,0,24024,Zach Johnson,167.2,4633507.000,770
65,0,55708,Hayden Buckley,167.3,6452137.000,1071
65,0,48319,Tom Whitney,167.3,5402710.000,897
67,0,33948,Byeong Hun An,167.4,7081046.000,1175
67,0,45522,Christiaan Bezuidenhout,167.4,7737075.000,1284
67,0,40162,Justin Lower,167.4,8908417.000,1478
67,0,47993,Denny McCarthy,167.4,8514195.000,1413
71,0,22371,Aaron Baddeley,167.6,6359363.000,1054
71,0,35310,Lanto Griffin,167.6,6257258.000,1037
71,0,47420,Jake Knapp,167.6,7368684.000,1221
71,0,32791,K.H. Lee,167.6,7308272.000,1211
75,0,34255,Joseph Bramlett,167.7,7771317.000,1287
75,0,29478,Kevin Kisner,167.7,5035804.000,834
75,0,47806,Raul Pereda,167.7,3876300.000,642
75,0,47347,Adam Schenk,167.7,8709219.000,1443
79,0,47504,Sam Burns,167.8,7108742.000,1177
79,0,49771,J.T. Poston,167.8,8283477.000,1371
79,0,29221,Webb Simpson,167.8,5256815.000,870
82,0,28420,Ryan Brehm,167.9,4961042.000,821
83,0,33141,Keegan Bradley,168.0,7628012.000,1261
83,0,37378,Min Woo Lee,168.0,6382345.000,1055
83,0,46340,Alex Smalley,168.0,6352110.000,1050
86,0,35461,Beau Hossler,168.1,8515957.000,1407
86,0,34587,Chan Kim,168.1,7671849.000,1268
88,0,52955,Ludvig Ãberg,168.2,7125029.000,1177
88,0,29908,C.T. Pan,168.2,6184097.000,1021
90,0,26476,Chez Reavie,168.3,6048404.000,998
90,0,46441,Robby Shelton,168.3,7114184.000,1174
92,0,45609,Tyler Duncan,168.4,6063727.000,1000
93,0,51766,Wyndham Clark,168.5,6671019.000,1100
93,0,52375,Doug Ghim,168.5,8574780.000,1414
93,0,51997,Andrew Novak,168.5,8351632.000,1377
96,0,23320,Ryan Palmer,168.6,3902326.000,643
97,0,27644,Brian Harman,168.7,8575130.000,1412
97,0,39324,J.J. Spaun,168.7,7921408.000,1304
99,0,36326,David Lipsky,168.8,6291154.000,1035
99,0,51070,Vincent Norrman,168.8,5002189.000,823
99,0,58168,Davis Thompson,168.8,8710161.000,1433
102,0,56630,Akshay Bhatia,168.9,8568964.000,1409
102,0,32839,Hideki Matsuyama,168.9,6963081.000,1145
102,0,48153,Matthieu Pavon,168.9,5741549.000,944
105,0,51349,Nico Echavarria,169.0,7612314.000,1251
105,0,29936,Ryan Fox,169.0,7477897.000,1229
105,0,47679,Victor Perez,169.0,6651151.000,1093
108,0,32102,Rickie Fowler,169.1,7349739.000,1207
108,0,51287,Ryo Hisatsune,169.1,7640558.000,1255
108,0,51890,Greyson Sigg,169.1,7209240.000,1184
108,0,40006,Erik van Rooyen,169.1,7592288.000,1247
112,0,25900,Lucas Glover,169.2,8399414.000,1379
112,0,33399,Adam Hadwin,169.2,7683269.000,1261
114,0,47591,Eric Cole,169.3,10382639.000,1704
115,0,34098,Russell Henley,169.4,6982758.000,1145
116,0,30926,Chris Kirk,169.6,7310475.000,1197
