RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,38991,Alejandro Tosti,158.4,4711422.000,826
2,0,47663,Kevin Dougherty,158.9,3855431.000,674
3,0,59836,Pierceson Coody,159.4,4854813.000,846
4,0,39546,Keith Mitchell,160.3,6007564.000,1041
5,0,33948,Byeong Hun An,160.7,5277018.000,912
5,0,52372,Cameron Champ,160.7,3847517.000,665
7,0,34255,Joseph Bramlett,162.1,5747865.000,985
8,0,37212,Paul Barjon,162.5,3534130.000,604
8,0,57366,Cameron Young,162.5,5785828.000,989
10,0,59095,Chris Gotterup,163.1,5296103.000,902
10,0,54421,Garrick Higgo,163.1,5009133.000,853
10,0,55893,Sam Stevens,163.1,6406049.000,1091
13,0,37378,Min Woo Lee,163.2,4759758.000,810
13,0,34046,Jordan Spieth,163.2,5093732.000,867
15,0,28237,Rory McIlroy,163.4,4994605.000,849
15,0,40006,Erik van Rooyen,163.4,5665961.000,963
17,0,40250,Taylor Pendrith,163.6,5720257.000,971
18,0,52955,Ludvig Ãberg,163.7,5402985.000,917
18,0,54576,Patrick Fishburn,163.7,4519556.000,767
20,0,27064,Jhonattan Vegas,163.9,4908050.000,832
21,0,56149,Wilson Furr,164.0,3648824.000,618
21,0,45242,Kevin Yu,164.0,5349825.000,906
23,0,48084,Wesley Bryan,164.1,2858437.000,484
23,0,51766,Wyndham Clark,164.1,5046627.000,854
25,0,32333,Kevin Tway,164.3,3691478.000,624
26,0,47504,Sam Burns,164.4,5404309.000,913
27,0,47988,Nick Hardy,164.6,6245454.000,1054
28,0,48699,Callum Tarren,165.1,4624427.000,778
29,0,27129,Luke List,165.3,5327222.000,895
30,0,29936,Ryan Fox,165.4,5586218.000,938
30,0,24502,Adam Scott,165.4,5072630.000,852
32,0,50484,Hayden Springer,165.6,4523576.000,759
33,0,48117,Kurt Kitayama,165.8,5759337.000,965
34,0,47995,Davis Riley,165.9,5624451.000,942
34,0,36699,Patrick Rodgers,165.9,7270521.000,1217
36,0,51070,Vincent Norrman,166.0,3783445.000,633
36,0,55454,Carl Yuan,166.0,4403341.000,737
38,0,28420,Ryan Brehm,166.4,3721039.000,621
38,0,31323,Gary Woodland,166.4,5852963.000,977
40,0,51696,Rico Hoey,166.5,5501150.000,918
41,0,32366,Kevin Chappell,166.7,3349056.000,558
41,0,46046,Scottie Scheffler,166.7,5178270.000,863
43,0,46340,Alex Smalley,166.8,4876885.000,812
44,0,47420,Jake Knapp,167.1,5647610.000,939
44,0,49947,Taylor Moore,167.1,7249290.000,1205
44,0,51894,Vince Whaley,167.1,4396939.000,731
47,0,60767,Blaine Hale Jr.,167.4,3073011.000,510
48,0,39975,Michael Kim,167.6,5109889.000,847
49,0,39997,Corey Conners,168.2,6571375.000,1085
49,0,46717,Viktor Hovland,168.2,4378307.000,723
51,0,46442,Maverick McNealy,168.4,6594633.000,1088
52,0,30926,Chris Kirk,168.5,5673180.000,935
52,0,48867,Matti Schmid,168.5,5199451.000,857
54,0,45609,Tyler Duncan,168.6,4684893.000,772
54,0,50095,Austin Smotherman,168.6,3162772.000,521
56,0,36799,Stephan Jaeger,168.7,6066334.000,999
56,0,32757,Patton Kizzire,168.7,4432628.000,730
56,0,52215,Robert MacIntyre,168.7,5233819.000,862
59,0,51977,Max Greyserman,169.0,5282158.000,868
59,0,60067,Joe Highsmith,169.0,4813384.000,791
59,0,35617,Martin Trainer,169.0,3345631.000,550
62,0,33141,Keegan Bradley,169.1,6001519.000,986
62,0,50497,Adrien Dumont de Chassart,169.1,4771364.000,784
64,0,39324,J.J. Spaun,169.2,6059371.000,995
65,0,29725,Tony Finau,169.3,5935608.000,974
65,0,35461,Beau Hossler,169.3,6619532.000,1086
67,0,52514,Trace Crowe,169.6,4390248.000,719
67,0,12716,Charley Hoffman,169.6,5080228.000,832
67,0,51634,Sahith Theegala,169.6,7187299.000,1177
70,0,46113,Ryan McCormick,169.7,3885563.000,636
70,0,33448,Justin Thomas,169.7,4980347.000,815
72,0,35450,Patrick Cantlay,169.9,4666849.000,763
73,0,48081,Xander Schauffele,170.0,5806358.000,949
74,0,47347,Adam Schenk,170.1,6864222.000,1121
75,0,60004,Jacob Bridgeman,170.3,5015771.000,818
75,0,58168,Davis Thompson,170.3,6719465.000,1096
77,0,33399,Adam Hadwin,170.4,5986749.000,976
78,0,45157,Cam Davis,170.5,6059614.000,987
78,0,22405,Justin Rose,170.5,4491932.000,732
80,0,56630,Akshay Bhatia,170.7,6674306.000,1086
80,0,57975,Harry Hall,170.7,5912838.000,962
80,0,50188,S.H. Kim,170.7,7516861.000,1223
83,0,55708,Hayden Buckley,170.8,5067509.000,824
83,0,29221,Webb Simpson,170.8,4114346.000,669
83,0,27214,Kevin Streelman,170.8,4850210.000,789
86,0,59866,Nick Dunlap,170.9,5376802.000,874
87,0,34563,Chesson Hadley,171.1,5162265.000,838
88,0,34076,Joel Dahmen,171.3,6184394.000,1003
88,0,34587,Chan Kim,171.3,5938996.000,963
90,0,32070,Rafael Campos,171.4,3676550.000,596
90,0,34021,Bud Cauley,171.4,4343568.000,704
90,0,34466,Peter Malnati,171.4,5701994.000,924
93,0,35310,Lanto Griffin,171.5,4908826.000,795
94,0,33408,Tyson Alexander,171.6,5039514.000,816
95,0,34099,Harris English,171.7,6686776.000,1082
96,0,39971,Sungjae Im,171.8,6765194.000,1094
