RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,125.16,5507.02,44
2,0,25804,Bubba Watson,123.89,8300.78,67
3,0,30925,Dustin Johnson,122.80,8350.56,68
4,0,24358,Robert Garrigus,121.32,7764.78,64
5,0,25594,Travis Perkins,121.02,3025.50,25
6,0,23497,Tag Ridings,120.96,8467.46,70
7,0,27095,Nick Watney,120.89,8824.72,73
8,0,20848,Ángel Cabrera,120.78,4468.79,37
9,0,23540,Jason Allred,120.53,5424.04,45
10,0,21209,Sergio Garcia,120.22,5890.96,49
11,0,23409,James Driscoll,119.80,7667.25,64
12,0,25364,Paul Casey,119.25,3696.69,31
13,0,24924,Bill Haas,118.81,10336.31,87
14,0,21961,Charles Howell III,118.66,9848.73,83
15,0,06573,Brandt Jobe,118.47,4738.61,40
16,0,24502,Adam Scott,118.40,4025.76,34
17,0,12716,Charley Hoffman,118.36,10297.71,87
17,0,20645,John Senden,118.36,8403.29,71
19,0,12823,Carlos Franco,118.19,5436.88,46
20,0,20850,Daniel Chopra,117.98,7786.91,66
21,0,24490,George McNeill,117.89,10138.83,86
22,0,01226,Fred Couples,117.83,4006.12,34
23,0,29718,Anthony Kim,117.79,7656.48,65
23,0,01706,Davis Love III,117.79,6360.84,54
23,0,27214,Kevin Streelman,117.79,10365.79,88
26,0,23349,Charles Warren,117.65,7765.20,66
27,0,27120,Troy Matteson,117.56,10110.52,86
28,0,25900,Lucas Glover,117.50,9399.97,80
29,0,24361,Pat Perez,117.41,8453.43,72
30,0,27936,Martin Laird,117.39,8804.14,75
31,0,01810,Phil Mickelson,117.32,6218.13,53
32,0,09011,David Duval,117.21,3633.47,31
33,0,22892,Jason Gore,117.15,6912.14,59
34,0,21805,Harrison Frazar,116.98,6083.05,52
35,0,23157,Richard Johnson,116.52,7108.01,61
36,0,22371,Aaron Baddeley,116.37,6516.48,56
37,0,25562,Andres Romero,116.32,5234.52,45
38,0,21633,Steve Allan,116.31,5001.16,43
39,0,26300,Matt Jones,116.22,8600.53,74
40,0,20229,Stewart Cink,116.16,6621.29,57
41,0,30750,Tommy Gainey,116.07,4642.69,40
42,0,06567,Vijay Singh,115.97,7189.97,62
43,0,28475,Jeff Overton,115.93,8810.97,76
44,0,28089,Jason Day,115.92,8578.44,74
45,0,20766,Padraig Harrington,115.75,3009.62,26
46,0,25632,Jimmy Walker,115.67,5667.89,49
47,0,26289,Boo Weekley,115.50,7969.36,69
48,0,24140,Sean O'Hair,115.47,7390.03,64
49,0,22378,Trevor Immelman,115.10,5754.76,50
50,0,23353,J.J. Henry,114.86,10796.48,94
51,0,20157,Retief Goosen,114.80,4247.71,37
52,0,23621,Rory Sabbatini,114.74,7687.57,67
53,0,25842,Jon Mills,114.62,6418.66,56
54,0,23778,Brad Adamonis,114.59,8135.87,71
55,0,27933,John Merrick,114.55,8018.55,70
56,0,27770,Camilo Villegas,114.54,6757.77,59
57,0,22046,Geoff Ogilvy,114.53,5382.80,47
58,0,06522,Ernie Els,114.50,4350.86,38
59,0,24925,Jonathan Byrd,114.43,8925.36,78
60,0,10885,Robert Allenby,114.40,9266.32,81
61,0,07867,Woody Austin,114.39,10523.98,92
62,0,24663,Y.E. Yang,114.36,8348.43,73
63,0,23320,Ryan Palmer,114.30,5143.36,45
63,0,23623,Bo Van Pelt,114.30,9258.03,81
65,0,24912,Will MacKenzie,114.29,6514.53,57
66,0,23788,D.J. Trahan,114.27,8227.11,72
67,0,28780,Nicholas Thompson,114.16,10045.98,88
68,0,06197,Michael Allen,114.15,8104.37,71
69,0,27561,Nick Flanagan,114.12,8559.36,75
70,0,20574,Mathew Goggin,113.92,8088.52,71
71,0,01945,Kenny Perry,113.87,9793.09,86
72,0,10875,Todd Demsey,113.81,7511.27,66
72,0,26695,Michael Letzig,113.81,7739.00,68
72,0,20663,Brenden Pappas,113.81,4893.66,43
75,0,21959,Ted Purdy,113.79,5120.43,45
76,0,01553,John Huston,113.69,5115.95,45
77,0,01707,Steve Lowery,113.65,7160.03,63
78,0,23718,Nathan Green,113.57,8177.00,72
79,0,10585,Scott McCarron,113.47,5673.35,50
80,0,06621,Joe Durant,113.46,8736.55,77
81,0,01161,Mark Calcavecchia,113.45,5332.18,47
82,0,20378,Mathias Grönberg,113.41,7484.87,66
83,0,01577,Lee Janzen,113.38,7709.54,68
84,0,12309,Bob Sowards,113.34,4873.77,43
85,0,20098,Stuart Appleby,113.28,7023.25,62
86,0,01473,Todd Hamilton,113.21,5207.68,46
86,0,26679,Kevin Stadler,113.21,6679.47,59
88,0,23797,Brett Rumford,113.17,6337.30,56
88,0,26951,Johnson Wagner,113.17,7355.78,65
90,0,06004,Stephen Ames,113.05,8252.73,73
91,0,06595,Kevin Sutherland,112.92,9711.51,86
92,0,26596,Ryan Moore,112.90,6322.14,56
93,0,07749,Brett Quigley,112.88,6998.75,62
94,0,06527,Steve Stricker,112.87,6095.01,54
95,0,26668,Marc Turnesa,112.73,7890.77,70
96,0,22913,John Rollins,112.70,8339.84,74
97,0,01024,Billy Andrade,112.60,5629.79,50
98,0,27963,Chris Stroud,112.58,7092.69,63
99,0,02002,John Riegger,112.55,6302.75,56
100,0,06034,Marco Dawson,112.49,5174.48,46
101,0,24781,Hunter Mahan,112.42,8093.94,72
102,0,12510,Chad Campbell,112.41,10229.08,91
103,0,28158,Steve Marino,112.27,9880.13,88
104,0,20104,Ken Duke,112.24,10887.73,97
105,0,25345,Carl Pettersson,112.20,10771.45,96
106,0,23614,Rich Beem,112.19,8190.17,73
107,0,23125,Brad Elder,112.16,5607.89,50
108,0,24449,Parker McLachlin,112.15,7626.44,68
109,0,01948,Tim Petrovic,112.07,8405.23,75
110,0,12782,Tim Herron,112.04,8738.93,78
111,0,20572,Rod Pampling,111.97,6942.03,62
112,0,20160,Charlie Wi,111.90,9847.32,88
113,0,12660,Jesper Parnevik,111.85,8053.36,72
114,0,10423,Mike Weir,111.84,7605.22,68
115,0,26631,Cody Freeman,111.82,5590.85,50
116,0,01320,Bob Estes,111.73,7932.85,71
117,0,10649,Tom Scherrer,111.70,4244.72,38
118,0,20498,Briny Baird,111.46,9474.03,85
119,0,27613,David Lutterus,111.40,5012.93,45
120,0,11032,Frank Lickliter II,111.31,10240.18,92
121,0,20433,Mark Hensby,111.30,6455.11,58
122,0,10809,Jim Furyk,111.28,9347.56,84
123,0,07457,Steve Flesch,111.18,9005.18,81
