RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,184.35,8111.52,44
2,0,25804,Bubba Watson,182.94,12256.89,67
3,0,30925,Dustin Johnson,180.69,12286.69,68
4,0,24358,Robert Garrigus,178.74,11439.53,64
5,0,23497,Tag Ridings,178.46,12492.37,70
6,0,25594,Travis Perkins,178.45,4461.24,25
7,0,27095,Nick Watney,178.33,13018.36,73
8,0,20848,Ángel Cabrera,178.07,6588.74,37
9,0,21209,Sergio Garcia,175.50,8599.43,49
10,0,25364,Paul Casey,175.44,5438.59,31
11,0,23540,Jason Allred,175.02,7875.80,45
12,0,23409,James Driscoll,174.65,11177.32,64
13,0,24502,Adam Scott,174.32,5926.86,34
14,0,24924,Bill Haas,173.96,15134.13,87
15,0,12716,Charley Hoffman,173.87,15126.40,87
15,0,21961,Charles Howell III,173.87,14430.88,83
17,0,24490,George McNeill,173.85,14951.00,86
18,0,01706,Davis Love III,173.77,9383.45,54
19,0,01226,Fred Couples,173.59,5902.06,34
20,0,29718,Anthony Kim,173.52,11279.09,65
21,0,06573,Brandt Jobe,173.27,6930.68,40
22,0,27936,Martin Laird,173.18,12988.71,75
23,0,01810,Phil Mickelson,173.04,9171.26,53
24,0,09011,David Duval,172.98,5362.47,31
25,0,23349,Charles Warren,172.76,11402.13,66
26,0,20850,Daniel Chopra,172.64,11393.99,66
26,0,27120,Troy Matteson,172.64,14847.40,86
28,0,21805,Harrison Frazar,172.55,8972.81,52
29,0,25900,Lucas Glover,172.48,13798.12,80
30,0,22892,Jason Gore,172.16,10157.42,59
31,0,23157,Richard Johnson,172.03,10494.01,61
32,0,20645,John Senden,171.90,12205.01,71
33,0,24361,Pat Perez,171.57,12352.68,72
34,0,26300,Matt Jones,171.42,12685.44,74
35,0,21633,Steve Allan,171.38,7369.15,43
36,0,20229,Stewart Cink,171.30,9763.82,57
37,0,25562,Andres Romero,171.25,7706.32,45
38,0,12823,Carlos Franco,171.09,7870.01,46
39,0,22371,Aaron Baddeley,171.04,9578.46,56
40,0,28475,Jeff Overton,170.96,12993.00,76
41,0,30750,Tommy Gainey,170.90,6836.18,40
42,0,06567,Vijay Singh,170.85,10592.97,62
43,0,27214,Kevin Streelman,170.57,15010.04,88
44,0,20766,Padraig Harrington,170.55,4434.23,26
44,0,25632,Jimmy Walker,170.55,8357.15,49
46,0,28089,Jason Day,170.15,12591.25,74
47,0,24140,Sean O'Hair,169.70,10860.86,64
48,0,22378,Trevor Immelman,169.66,8483.08,50
49,0,26289,Boo Weekley,169.57,11700.29,69
50,0,23621,Rory Sabbatini,169.04,11325.55,67
51,0,22046,Geoff Ogilvy,168.89,7937.94,47
52,0,06522,Ernie Els,168.88,6417.39,38
53,0,10885,Robert Allenby,168.82,13674.13,81
53,0,25842,Jon Mills,168.82,9453.95,56
55,0,27770,Camilo Villegas,168.75,9955.98,59
56,0,23778,Brad Adamonis,168.69,11976.74,71
57,0,23320,Ryan Palmer,168.64,7588.70,45
58,0,23623,Bo Van Pelt,168.58,13655.12,81
59,0,27933,John Merrick,168.55,11798.28,70
60,0,23353,J.J. Henry,168.41,15830.49,94
60,0,23788,D.J. Trahan,168.41,12125.76,72
62,0,20574,Mathew Goggin,168.21,11942.67,71
63,0,10875,Todd Demsey,168.06,11091.72,66
64,0,20663,Brenden Pappas,168.01,7224.60,43
65,0,01553,John Huston,167.91,7555.97,45
66,0,07867,Woody Austin,167.88,15445.19,92
67,0,26695,Michael Letzig,167.77,11408.67,68
68,0,28780,Nicholas Thompson,167.58,14747.05,88
69,0,27561,Nick Flanagan,167.56,12567.22,75
70,0,24925,Jonathan Byrd,167.50,13064.94,78
71,0,01945,Kenny Perry,167.49,14404.15,86
72,0,20378,Mathias Grönberg,167.27,11040.13,66
73,0,20157,Retief Goosen,167.26,6188.46,37
74,0,01707,Steve Lowery,167.24,10536.29,63
75,0,21959,Ted Purdy,167.09,7519.03,45
76,0,23718,Nathan Green,167.07,12029.34,72
77,0,24663,Y.E. Yang,167.02,12192.25,73
78,0,12309,Bob Sowards,167.00,7181.18,43
79,0,20098,Stuart Appleby,166.94,10350.46,62
80,0,01473,Todd Hamilton,166.92,7678.34,46
81,0,24912,Will MacKenzie,166.91,9513.65,57
82,0,06621,Joe Durant,166.88,12849.60,77
