RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
1,0,30163,Henrik Norlander,29,3
2,0,19803,Ryan Armour,27,1
2,0,25396,Kevin Na,27,3
2,0,46970,Jon Rahm,27,3
5,0,01569,Peter Jacobsen,26,0
6,0,40026,Daniel Berger,25,2
6,0,23108,Matt Kuchar,25,2
6,0,39328,Conrad Shindler,25,2
9,0,55708,Hayden Buckley,24,2
10,0,34098,Russell Henley,23,3
10,0,27649,Brandt Snedeker,23,4
12,0,34174,John Huh,22,0
12,0,35449,Adam Long,22,5
12,0,53165,Doc Redman,22,13
15,0,52375,Doug Ghim,21,1
15,0,31560,Brian Stuard,21,0
17,0,46435,Austin Cook,20,0
17,0,29725,Tony Finau,20,0
17,0,40098,Matt Fitzpatrick,20,1
17,0,29535,Brice Garnett,20,0
17,0,33122,Russell Knox,20,0
17,0,28775,Nate Lashley,20,4
17,0,36871,Matthew NeSmith,20,1
17,0,34256,Andrew Putnam,20,0
17,0,26476,Chez Reavie,20,0
26,0,45526,Abraham Ancer,19,2
26,0,32070,Rafael Campos,19,19
26,0,45609,Tyler Duncan,19,1
26,0,39977,Max Homa,19,3
26,0,36514,Yuki Inamori,19,0
26,0,34409,David Lingmerth,19,1
26,0,32640,Troy Merritt,19,1
26,0,49947,Taylor Moore,19,0
26,0,24361,Pat Perez,19,0
26,0,39324,J.J. Spaun,19,0
26,0,30927,Brendon Todd,19,1
26,0,40006,Erik van Rooyen,19,1
38,0,21753,Brian Davis,18,18
38,0,57362,Austin Eckroat,18,0
38,0,01666,Bernhard Langer,18,9
38,0,46930,Jaekyeong Lee,18,0
38,0,26329,Louis Oosthuizen,18,1
38,0,27214,Kevin Streelman,18,1
38,0,40115,Adam Svensson,18,1
45,0,39997,Corey Conners,17,0
45,0,23983,Luke Donald,17,0
45,0,25900,Lucas Glover,17,0
45,0,49298,Kramer Hickok,17,5
45,0,46717,Viktor Hovland,17,0
45,0,47983,Chad Ramey,17,0
45,0,29221,Webb Simpson,17,0
45,0,49960,Sepp Straka,17,1
53,0,27958,Ryan Blaum,16,3
53,0,39971,Sungjae Im,16,3
53,0,55182,Tom Kim,16,0
53,0,29478,Kevin Kisner,16,2
53,0,32816,Satoshi Kodaira,16,0
53,0,35879,Kelly Kraft,16,5
53,0,27936,Martin Laird,16,0
53,0,32791,K.H. Lee,16,0
53,0,01823,Larry Mize,16,0
53,0,24140,Sean O'Hair,16,1
53,0,47995,Davis Riley,16,1
53,0,23621,Rory Sabbatini,16,4
53,0,33486,Roger Sloan,16,0
53,0,21528,Henrik Stenson,16,1
67,0,48084,Wesley Bryan,15,0
67,0,26499,Rafa Cabrera Bello,15,0
67,0,20229,Stewart Cink,15,1
67,0,29974,Branden Grace,15,0
67,0,31646,Emiliano Grillo,15,0
67,0,27644,Brian Harman,15,0
67,0,34363,Tyrrell Hatton,15,0
67,0,23353,J.J. Henry,15,0
67,0,29420,Billy Horschel,15,2
67,0,47917,Takumi Kanaya,15,1
67,0,30926,Chris Kirk,15,0
67,0,33413,Ben Martin,15,0
67,0,51950,Max McGreevy,15,0
67,0,51997,Andrew Novak,15,1
67,0,28252,Seamus Power,15,0
67,0,34360,Patrick Reed,15,2
67,0,29518,Brendan Steele,15,1
67,0,48887,Matt Wallace,15,0
67,0,32139,Danny Willett,15,0
67,0,49964,Aaron Wise,15,1
67,0,57366,Cameron Young,15,4
88,0,30978,Kiradech Aphibarnrat,14,1
88,0,45522,Christiaan Bezuidenhout,14,0
88,0,29479,Scott Brown,14,0
88,0,24925,Jonathan Byrd,14,10
88,0,35450,Patrick Cantlay,14,0
88,0,51766,Wyndham Clark,14,0
