RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,01964,Greg Powers,63.54,61,96,+7.00
2,0,02104,Jeff Sluman,60.99,111,182,-17.00
3,0,02267,D.A. Weibring,59.60,59,99,-5.00
4,0,01378,David Frost,59.35,73,123,-8.00
5,0,02007,Larry Rinker,58.90,86,146,-7.00
6,0,01557,John Inman,58.74,121,206,+10.00
7,0,01495,Morris Hatalsky,57.48,73,127,-18.00
8,0,01129,Bill Britton,56.52,78,138,-14.00
9,0,01633,Tom Kite,56.25,63,112,-15.00
10,0,02322,Richard Zokol,56.15,73,130,-3.00
11,0,01414,Bob Gilder,56.02,93,166,-13.00
12,0,01971,Dillard Pruitt,55.86,62,111,+11.00
13,0,01175,Jim Carter,55.84,86,154,-15.00
14,0,01161,Mark Calcavecchia,55.83,115,206,-12.00
15,0,01559,Hale Irwin,55.81,72,129,+3.00
16,0,01390,Buddy Gardner,55.79,106,190,-2.00
17,0,01444,Ken Green,55.77,87,156,-21.00
18,0,02049,Gene Sauers,55.56,75,135,-17.00
19,0,01876,Greg Norman,55.32,52,94,-3.00
20,0,01931,Rick Pearson,55.12,70,127,+12.00
21,0,01006,John Adams,54.79,40,73,-1.00
22,0,01042,Paul Azinger,54.68,76,139,-2.00
23,0,01185,Brandel Chamblee,54.63,59,108,+6.00
24,0,02090,Tom Sieckmann,54.46,61,112,+6.00
25,0,01975,Tom Purtzer,54.39,62,114,-5.00
26,0,01072,Chip Beck,54.36,81,149,-4.00
27,0,01226,Fred Couples,54.20,71,131,-27.00
28,0,01061,Ray Barr Jr.,54.12,46,85,E
29,0,01303,Bob Eastwood,54.05,80,148,-9.00
30,0,02180,Harry Taylor,54.00,27,50,+3.00
31,0,02279,Mark Wiebe,53.54,106,198,+4.00
32,0,01571,Barry Jaeckel,53.51,61,114,-3.00
33,0,01986,Joey Rassett,53.33,48,90,+6.00
34,0,02256,Tom Watson,53.26,49,92,-10.00
35,0,01033,George Archer,53.23,66,124,-6.00
36,0,01143,Brad Bryant,52.83,56,106,-2.00
37,0,01179,Antonio Cerda,52.73,58,110,+8.00
38,0,01132,Mark Brooks,52.63,70,133,-19.00
39,0,01960,Don Pooley,52.38,77,147,-1.00
40,0,02242,Lanny Wadkins,52.32,79,151,-17.00
41,0,01306,David Edwards,52.21,59,113,-2.00
42,0,02146,Payne Stewart,52.00,65,125,-13.00
43,0,01715,Mark Lye,51.97,66,127,-7.00
44,0,01938,David Peoples,51.88,69,133,+7.00
45,0,02159,Curtis Strange,51.85,56,108,+7.00
46,0,01837,Gil Morgan,51.79,58,112,-13.00
47,0,01236,Richard Cromwell,51.61,64,124,+5.00
47,0,01346,Ed Fiori,51.61,96,186,-9.00
49,0,01790,Pat McGowan,51.45,71,138,+8.00
49,0,01998,Jack Renner,51.45,71,138,+1.00
51,0,01284,Mike Donald,51.40,92,179,-1.00
52,0,01527,Scott Hoch,51.38,93,181,-12.00
53,0,01892,Aki Ohmachi,51.32,78,152,+13.00
54,0,02033,Dave Rummells,51.16,88,172,-11.00
55,0,01168,David Canipe,51.09,70,137,-3.00
56,0,01706,Davis Love III,51.03,74,145,-4.00
57,0,01662,Greg Ladehoff,51.01,76,149,+7.00
58,0,01797,Rocco Mediate,50.97,79,155,-11.00
59,0,02195,Leonard Thompson,50.94,81,159,-10.00
60,0,01094,Mike Blackburn,50.88,58,114,+16.00
61,0,02041,Bill Sander,50.81,63,124,+4.00
62,0,01093,Ronnie Black,50.69,73,144,+20.00
63,0,01725,John Mahaffey,50.67,76,150,-17.00
64,0,01435,Wayne Grady,50.56,45,89,-3.00
65,0,01926,Steve Pate,50.55,92,182,-8.00
66,0,01639,Kenny Knox,50.50,102,202,-19.00
67,0,01197,Bobby Clampett,50.38,66,131,+3.00
67,0,01313,Steve Elkington,50.38,67,133,-9.00
69,0,02100,Tim Simpson,50.34,74,147,-6.00
69,0,02255,Denis Watson,50.34,74,147,+12.00
71,0,01701,Bob Lohr,50.32,79,157,-7.00
72,0,01846,Jodie Mudd,50.30,84,167,-2.00
73,0,01157,Tom Byrum,50.00,82,164,E
73,0,01755,Dick Mast,50.00,88,176,-9.00
73,0,01928,Corey Pavin,50.00,65,130,-8.00
73,0,02023,Clarence Rose,50.00,88,176,-5.00
73,0,02126,Bruce Soulsby,50.00,42,84,E
78,0,02094,Tony Sills,49.71,86,173,-9.00
79,0,02244,Fred Wadsworth,49.66,72,145,+17.00
80,0,01707,Steve Lowery,49.33,74,150,+14.00
81,0,01968,Nick Price,49.22,63,128,-8.00
82,0,01641,Gary Koch,49.18,60,122,-3.00
83,0,02133,Craig Stadler,49.07,53,108,-8.00
84,0,01154,Bill Buttner,48.95,70,143,+2.00
84,0,02294,Willie Wood,48.95,70,143,+25.00
86,0,01782,Mike McCullough,48.91,67,137,+9.00
87,0,02229,Brett Upper,48.87,65,133,+12.00
88,0,01200,Keith Clearwater,48.85,64,131,-2.00
89,0,02099,Scott Simpson,48.78,60,123,-3.00
90,0,01877,Tim Norris,48.76,59,121,-10.00
91,0,01323,Brad Fabel,48.75,78,160,-5.00
92,0,01826,Brian Mogg,48.72,57,117,+23.00
93,0,01156,Curt Byrum,48.63,71,146,-14.00
93,0,01771,Blaine McCallister,48.63,71,146,+3.00
95,0,02167,Mike Sullivan,48.61,70,144,+16.00
96,0,01024,Billy Andrade,48.59,69,142,-7.00
97,0,01858,Tommy Nakajima,48.28,42,87,+1.00
98,0,02225,Howard Twitty,48.26,97,201,+4.00
99,0,01150,George Burns,48.15,39,81,-6.00
99,0,01941,Tom Pernice Jr.,48.15,65,135,+6.00
99,0,02010,Loren Roberts,48.15,65,135,-20.00
102,0,01425,Ernie Gonzalez,48.12,64,133,+1.00
103,0,01553,John Huston,48.10,76,158,+3.00
104,0,01310,Dave Eichelberger,47.74,74,155,-20.00
105,0,01385,Jim Gallagher Jr.,47.54,29,61,-2.00
106,0,01214,Frank Conner,47.52,48,101,+13.00
107,0,01068,Andy Bean,47.50,38,80,+3.00
108,0,01288,Ed Dougherty,47.48,66,139,E
109,0,01261,Jay Delsing,47.33,62,131,+9.00
110,0,01355,Raymond Floyd,47.17,50,106,+4.00
111,0,01682,Wayne Levi,47.15,58,123,-8.00
112,0,02101,Joey Sindelar,47.02,79,168,-7.00
113,0,02190,Doug Tewell,46.94,46,98,-10.00
114,0,01970,Bob Proben,46.72,64,137,+16.00
115,0,01331,Rick Fehr,46.67,63,135,+6.00
116,0,02246,Duffy Waldorf,46.62,62,133,E
117,0,01014,Fulton Allem,46.60,48,103,-3.00
118,0,02148,Ray Stewart,46.58,68,146,+5.00
119,0,01569,Peter Jacobsen,46.56,61,131,+5.00
120,0,01984,Sam Randolph,46.51,60,129,-2.00
121,0,01499,Mark Hayes,46.47,79,170,-6.00
122,0,01418,Bill Glasson,46.40,58,125,-8.00
123,0,01783,Mark McCumber,46.36,51,110,-4.00
124,0,01191,Barry Cheesman,46.23,49,106,+25.00
125,0,01035,Tommy Armour III,46.22,55,119,-8.00
126,0,01077,Mike Bender,46.09,59,128,+8.00
127,0,02241,Bobby Wadkins,46.07,88,191,-10.00
128,0,01887,Mark O'Meara,46.04,64,139,-11.00
129,0,01823,Larry Mize,45.89,67,146,-10.00
130,0,01361,Dan Forsman,45.83,77,168,-17.00
131,0,02311,Kim Young,45.74,59,129,-7.00
132,0,01235,Ben Crenshaw,45.64,68,149,-23.00
133,0,01060,Dave Barr,45.60,57,125,-7.00
134,0,02313,Bruce Zabriski,45.38,54,119,+5.00
135,0,01958,Dan Pohl,45.32,63,139,-1.00
136,0,02196,Robert Thompson,45.24,57,126,+12.00
137,0,01864,Larry Nelson,45.10,46,102,-4.00
138,0,01443,Hubert Green,45.05,50,111,+4.00
139,0,02303,Robert Wrenn,45.03,68,151,E
140,0,01736,Roger Maltbie,44.96,58,129,+7.00
141,0,01549,Mike Hulbert,44.67,67,150,-6.00
142,0,01457,Jay Haas,44.59,70,157,-23.00
142,0,02186,Brian Tennyson,44.59,70,157,-6.00
144,0,01861,Jim Nelford,44.37,67,151,+15.00
145,0,01469,Dan Halldorson,44.30,70,158,E
145,0,02160,Ron Streck,44.30,35,79,-3.00
147,0,02321,Fuzzy Zoeller,44.25,50,113,+6.00
148,0,01476,Mike Hammond,44.07,52,118,+15.00
149,0,01943,Chris Perry,43.98,73,166,-5.00
150,0,02223,Bob Tway,43.83,71,162,-5.00
151,0,01224,Jeff Coston,43.75,35,80,+4.00
152,0,01135,Ken Brown,43.59,51,117,+3.00
153,0,01329,Brad Faxon,43.57,61,140,-11.00
154,0,01203,Russ Cochran,43.36,62,143,+1.00
154,0,01996,Mike Reid,43.36,49,113,-13.00
156,0,02118,J.C. Snead,43.31,55,127,E
157,0,01086,Roy Biancalana,43.09,53,123,+3.00
158,0,01219,John Cook,42.96,61,142,-9.00
159,0,01648,Billy Kratzert,42.86,63,147,+14.00
160,0,01151,Clark Burroughs,42.74,50,117,+8.00
161,0,01098,Jay Don Blake,42.66,61,143,E
162,0,02185,Lance Ten Broeck,42.40,53,125,E
163,0,01723,Andrew Magee,42.25,60,142,-6.00
164,0,02192,Steve Thomas,42.11,48,114,-1.00
165,0,01201,Lennie Clements,42.03,58,138,-5.00
166,0,01096,Phil Blackmar,42.02,50,119,+5.00
