RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,23125,Brad Elder,13' 8",1616.083,118,59,5"
2,0,01378,David Frost,12' 10",3227.583,252,60,5"
3,0,01329,Brad Faxon,12' 8",2979.500,236,74,8"
4,0,02010,Loren Roberts,12' 4",2487.167,201,49,5"
5,0,01569,Peter Jacobsen,11' 11",2417.417,203,65,7"
6,0,01098,Jay Don Blake,11' 6",2029.417,176,70,1"
6,0,01157,Tom Byrum,11' 6",2661.833,232,50,6"
8,0,19846,Brian Gay,11' 5",2970.583,260,60,7"
9,0,21806,Paul Gow,11' 3",1979.167,176,80,3"
9,0,02223,Bob Tway,11' 3",2973.333,265,66,6"
11,0,08339,Spike McRoy,11' 2",3169.250,283,52,8"
11,0,07749,Brett Quigley,11' 2",2950.333,265,76,3"
13,0,10201,Matt Gogel,11' 1",2045.417,184,55,4"
14,0,23541,Ben Crane,11' 0",3023.250,275,66,4"
14,0,19881,Robert Damron,11' 0",2783.500,253,74,4"
14,0,06475,Jeff Klein,11' 0",1335.250,121,50,5"
14,0,01948,Tim Petrovic,11' 0",3289.750,299,42,3"
18,0,01766,Billy Mayfair,10' 11",3127.250,287,67,6"
19,0,20771,Steven Alker,10' 10",2096.917,193,61,6"
19,0,12388,Michael Clark II,10' 10",1878.250,173,46,3"
19,0,06643,Paul Goydos,10' 10",2836.167,262,44,6"
19,0,08537,J.P. Hayes,10' 10",2456.333,226,56,9"
19,0,01666,Bernhard Langer,10' 10",1563.750,144,52,4"
19,0,20568,Anthony Painter,10' 10",2299.083,212,59,6"
19,0,01928,Corey Pavin,10' 10",2136.500,197,47,1"
26,0,01024,Billy Andrade,10' 9",3117.083,290,57,4"
26,0,01042,Paul Azinger,10' 9",1941.833,181,70,6"
26,0,26420,Richard Johnson,10' 9",2530.583,236,59,7"
26,0,08547,John Maginnes,10' 9",2123.417,198,63,4"
30,0,20498,Briny Baird,10' 8",3618.500,340,72,4"
30,0,02049,Gene Sauers,10' 8",2168.583,203,59,4"
30,0,22293,Heath Slocum,10' 8",3269.750,307,56,7"
33,0,22621,Ben Curtis,10' 7",1901.500,179,55,6"
33,0,25692,Akio Sadakata,10' 7",2308.750,218,50,5"
33,0,11011,Mike Sposa,10' 7",2215.000,209,53,1"
36,0,23036,Chris Anderson,10' 6",2523.750,240,63,4"
36,0,12652,Cameron Beckman,10' 6",2879.500,275,44,2"
36,0,23353,J.J. Henry,10' 6",2917.500,278,58,5"
36,0,12662,Thomas Levet,10' 6",2357.583,225,44,5"
40,0,01307,Joel Edwards,10' 5",1776.333,170,41,4"
40,0,20121,Todd Fischer,10' 5",2834.917,273,57,5"
40,0,01361,Dan Forsman,10' 5",2829.250,272,46,4"
40,0,12823,Carlos Franco,10' 5",3012.167,289,62,3"
40,0,22892,Jason Gore,10' 5",2392.500,230,50,4"
40,0,01723,Andrew Magee,10' 5",2694.417,258,46,5"
40,0,12660,Jesper Parnevik,10' 5",2786.167,268,43,6"
40,0,01968,Nick Price,10' 5",1639.333,158,60,1"
40,0,20127,Chris Riley,10' 5",2454.917,235,59,4"
40,0,12602,Dean Wilson,10' 5",2429.083,234,56,6"
50,0,23983,Luke Donald,10' 4",2605.667,253,61,3"
50,0,10809,Jim Furyk,10' 4",2954.417,287,61,5"
50,0,21961,Charles Howell III,10' 4",3212.750,312,47,3"
50,0,20940,Kenichi Kuboya,10' 4",2618.333,253,75,3"
50,0,22046,Geoff Ogilvy,10' 4",2690.083,261,46,3"
