RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
184,0,06613,Tommy Tolles,15' 0",989.917,66,174
186,0,21805,Harrison Frazar,15' 1",1012.500,67,119
187,0,10885,Robert Allenby,15' 3",809.167,53,156
187,0,01127,Danny Briggs,15' 3",810.250,53,128
189,0,23353,J.J. Henry,15' 4",1151.583,75,118
190,0,10213,Dicky Pride,15' 10",807.583,51,157
191,0,07363,Craig Bowden,15' 11",829.750,52,74
192,0,01381,Fred Funk,16' 0",544.750,34,39
193,0,20548,Hidemichi Tanaka,16' 1",901.417,56,131
194,0,02002,John Riegger,16' 2",631.333,39,154
195,0,12645,Brent Geiberger,16' 6",1070.250,65,46
196,0,07223,Brian Bateman,16' 11",930.250,55,114
