RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,01706,Davis Love III,83.3,1332,16
2,0,01226,Fred Couples,87.4,1224,14
3,0,01945,Kenny Perry,98.4,1476,15
4,0,08793,Tiger Woods,119.5,1314,11
5,0,01553,John Huston,119.6,1674,14
6,0,01968,Nick Price,124.0,1116,9
7,0,10585,Scott McCarron,124.5,1494,12
8,0,02218,Ted Tryba,126.0,1890,15
9,0,12782,Tim Herron,130.2,1692,13
10,0,06251,Chris DiMarco,132.9,1728,13
11,0,02170,Hal Sutton,133.7,1872,14
12,0,01766,Billy Mayfair,135.0,1620,12
13,0,01249,John Daly,138.6,1386,10
13,0,10423,Mike Weir,138.6,1386,10
15,0,06522,Ernie Els,144.0,864,6
15,0,02101,Joey Sindelar,144.0,1728,12
17,0,01577,Lee Janzen,147.6,1476,10
18,0,01261,Jay Delsing,150.0,1350,9
19,0,12755,Vance Veazey,150.8,1206,8
20,0,02245,Grant Waite,155.5,1710,11
21,0,01468,Gary Hallberg,156.9,1098,7
22,0,01042,Paul Azinger,157.5,1260,8
23,0,01072,Chip Beck,159.4,1116,7
24,0,20094,Jonathan Kaye,162.0,1134,7
24,0,06613,Tommy Tolles,162.0,1458,9
26,0,01063,Ben Bates,163.6,1800,11
26,0,02223,Bob Tway,163.6,1800,11
28,0,06527,Steve Stricker,164.0,1476,9
29,0,01133,Billy Ray Brown,164.6,1152,7
30,0,09011,David Duval,166.0,1494,9
31,0,01191,Barry Cheesman,167.4,1674,10
32,0,01161,Mark Calcavecchia,172.8,1728,10
33,0,10207,Jimmy Johnston,174.0,1044,6
34,0,01408,Kelly Gibson,175.1,1926,11
35,0,01607,Brian Kamm,180.0,1260,7
36,0,21805,Harrison Frazar,182.3,1458,8
37,0,01132,Mark Brooks,184.0,1656,9
37,0,08993,Franklin Langham,184.0,1656,9
37,0,02106,Chris Smith,184.0,1656,9
40,0,02246,Duffy Waldorf,184.5,1476,8
41,0,01376,Bob Friend,191.3,1530,8
42,0,01705,Tim Loustalot,192.0,1152,6
42,0,02239,Scott Verplank,192.0,1728,9
44,0,01943,Chris Perry,192.6,1926,10
45,0,01035,Tommy Armour III,195.8,1566,8
46,0,19881,Robert Damron,198.0,1584,8
46,0,07457,Steve Flesch,198.0,1782,9
48,0,10809,Jim Furyk,202.0,1818,9
49,0,06621,Joe Durant,203.1,1422,7
50,0,01905,Joe Ozaki,205.2,1026,5
51,0,01599,Steve Jones,205.7,1440,7
52,0,08931,Glen Day,207.0,1656,8
53,0,01619,Skip Kendall,208.0,1872,9
54,0,02007,Larry Rinker,209.3,1674,8
54,0,06567,Vijay Singh,209.3,1674,8
56,0,02131,Mike Springer,210.0,1890,9
57,0,02214,Kirk Triplett,210.9,1476,7
58,0,01060,Dave Barr,216.0,1080,5
58,0,01604,Steve Jurgensen,216.0,1296,6
60,0,06090,Jim McGovern,218.6,1530,7
60,0,02206,David Toms,218.6,1530,7
62,0,01326,Nick Faldo,220.5,882,4
63,0,01331,Rick Fehr,223.2,1116,5
63,0,10457,Frank Nobilo,223.2,1116,5
65,0,01266,Clark Dennis,225.0,1350,6
65,0,01891,David Ogrin,225.0,1800,8
65,0,02159,Curtis Strange,225.0,900,4
68,0,07749,Brett Quigley,226.3,1584,7
69,0,01761,Len Mattiace,231.8,1854,8
70,0,06004,Stephen Ames,234.0,936,4
70,0,20098,Stuart Appleby,234.0,1170,5
70,0,01093,Ronnie Black,234.0,1404,6
70,0,02008,Lee Rinker,234.0,1872,8
70,0,07753,Kevin Wentworth,234.0,1404,6
75,0,01941,Tom Pernice Jr.,237.0,1422,6
75,0,02279,Mark Wiebe,237.0,1422,6
