RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,08793,Tiger Woods,68.655,5114,- 33.517,74
2,0,06567,Vijay Singh,69.040,7585,- 59.646,109
3,0,10809,Jim Furyk,69.274,6480,- 37.549,93
4,0,23983,Luke Donald,69.329,4216,- 56.256,60
5,0,01810,Phil Mickelson,69.386,5170,- 35.411,74
6,0,01945,Kenny Perry,69.477,5603,- 44.869,80
7,0,21209,Sergio Garcia,69.639,4776,- 40.574,68
8,0,02206,David Toms,69.660,5394,- 30.213,77
9,0,23541,Ben Crane,69.700,5172,- 14.174,74
10,0,01706,Davis Love III,69.839,5284,- 46.107,75
11,0,02239,Scott Verplank,69.985,6040,- 21.280,86
12,0,20157,Retief Goosen,70.055,4303,- 29.616,61
13,0,23135,Tim Clark,70.067,6133,- 37.211,87
14,0,02010,Loren Roberts,70.076,3739,- 24.961,53
15,0,12782,Tim Herron,70.106,6966,- 25.528,99
16,0,01320,Bob Estes,70.110,6478,- 27.878,92
17,0,06373,José María Olazábal,70.111,3745,- 29.143,53
18,0,10860,Justin Leonard,70.168,5290,- 27.387,75
19,0,12680,Shigeki Maruyama,70.176,6914,- 36.716,98
20,0,01142,Bart Bryant,70.187,6392,- 4.983,91
21,0,24502,Adam Scott,70.198,4819,- 45.518,68
22,0,12510,Chad Campbell,70.295,6502,- 34.863,92
23,0,20628,Arron Oberholser,70.317,4453,- 23.006,63
24,0,20229,Stewart Cink,70.320,6356,- 27.233,90
25,0,01313,Steve Elkington,70.321,4733,- 21.465,67
26,0,01766,Billy Mayfair,70.335,7740,- 3.174,110
27,0,22046,Geoff Ogilvy,70.365,6557,- 13.037,93
28,0,21961,Charles Howell III,70.367,6365,- 31.995,90
29,0,01381,Fred Funk,70.375,7160,- 52.116,101
30,0,24024,Zach Johnson,70.380,6727,- 40.912,95
31,0,21407,Arjun Atwal,70.400,4576,.001,65
32,0,06251,Chris DiMarco,70.405,5308,- 27.611,75
33,0,06573,Brandt Jobe,70.430,6507,- 27.486,92
34,0,24357,K.J. Choi,70.439,5192,- 49.975,73
35,0,24507,Jason Bohn,70.475,6410,3.199,91
36,0,01161,Mark Calcavecchia,70.490,6368,- 23.878,90
37,0,01226,Fred Couples,70.502,4824,- 29.836,68
38,0,26420,Richard Johnson,70.504,3514,11.186,50
39,0,01666,Bernhard Langer,70.506,4763,- 39.099,67
40,0,06004,Stephen Ames,70.507,5626,- 55.972,79
41,0,22405,Justin Rose,70.514,6696,2.795,95
42,0,20098,Stuart Appleby,70.543,5666,- 22.528,80
43,0,01329,Brad Faxon,70.570,5037,- 26.559,71
44,0,06575,Dudley Hart,70.590,5925,4.530,84
45,0,08075,Jerry Kelly,70.594,7028,- 39.200,99
46,0,24140,Sean O'Hair,70.613,7014,- 23.318,99
47,0,20572,Rod Pampling,70.634,5977,- 43.752,84
48,0,01941,Tom Pernice Jr.,70.637,7592,- 33.812,107
49,0,01677,Tom Lehman,70.639,4762,- 29.209,67
50,0,20396,Lee Westwood,70.657,3448,- 56.487,48
51,0,02223,Bob Tway,70.662,5874,- 9.021,83
52,0,06595,Kevin Sutherland,70.679,6151,- 1.969,87
53,0,20645,John Senden,70.688,6989,9.144,99
54,0,01139,Olin Browne,70.691,6691,24.619,95
55,0,20378,Mathias Grönberg,70.714,4095,6.403,58
56,0,01928,Corey Pavin,70.721,5169,- 6.348,73
57,0,07867,Woody Austin,70.725,7094,- 21.531,100
58,0,07749,Brett Quigley,70.731,6518,- 10.718,92
59,0,22293,Heath Slocum,70.733,6985,17.532,99
60,0,12660,Jesper Parnevik,70.742,5829,- 28.126,82
61,0,23621,Rory Sabbatini,70.748,5570,- 51.654,78
62,0,01685,J.L. Lewis,70.757,6958,- 23.783,98
63,0,23325,Vaughn Taylor,70.765,7005,.763,99
64,0,10885,Robert Allenby,70.766,6309,- 10.859,89
65,0,23623,Bo Van Pelt,70.767,7915,10.921,112
66,0,12602,Dean Wilson,70.796,6080,8.493,86
67,0,24361,Pat Perez,70.798,6329,- 27.981,89
68,0,20691,Greg Owen,70.811,5691,- 26.085,80
69,0,23353,J.J. Henry,70.815,7069,12.515,100
70,0,21959,Ted Purdy,70.831,8690,- 48.671,122
71,0,25900,Lucas Glover,70.833,6101,- 9.400,86
72,0,20766,Padraig Harrington,70.843,3433,- 32.526,48
73,0,21949,Joe Ogilvie,70.852,7060,- 45.609,99
74,0,21805,Harrison Frazar,70.858,7125,31.675,101
