RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,34360,Patrick Reed,67.00,134,2
2,0,30925,Dustin Johnson,67.50,135,2
3,0,22405,Justin Rose,68.00,136,2
4,0,25198,Francesco Molinari,68.20,341,5
5,0,23108,Matt Kuchar,68.25,273,4
6,0,33448,Justin Thomas,68.35,1162,17
7,0,34046,Jordan Spieth,68.50,137,2
8,0,27141,J.B. Holmes,68.83,826,12
9,0,27436,Graham DeLaet,68.89,620,9
10,0,32102,Rickie Fowler,69.00,276,4
10,0,36689,Brooks Koepka,69.00,276,4
12,0,26951,Johnson Wagner,69.20,346,5
13,0,23638,Brendon de Jonge,69.25,1108,16
13,0,27936,Martin Laird,69.25,831,12
15,0,29926,Danny Lee,69.37,1318,19
16,0,34099,Harris English,69.54,904,13
17,0,27644,Brian Harman,69.58,1322,19
18,0,25720,Chad Collins,69.60,1044,15
19,0,23320,Ryan Palmer,69.62,905,13
20,0,24507,Jason Bohn,69.69,1115,16
21,0,33461,Morgan Hoffmann,69.70,697,10
22,0,28500,Martin Flores,69.72,1255,18
23,0,25396,Kevin Na,69.77,907,13
24,0,30944,Jason Kokrak,69.80,1047,15
25,0,25191,Gonzalo Fernandez-Castaño,69.83,1257,18
25,0,25834,Daniel Summerhays,69.83,1257,18
27,0,25818,Scott Piercy,69.84,1327,19
28,0,34264,Hudson Swafford,69.88,1118,16
29,0,29479,Scott Brown,69.89,1957,28
29,0,23353,J.J. Henry,69.89,1328,19
29,0,26300,Matt Jones,69.89,1328,19
32,0,34265,Will Wilcox,69.90,699,10
33,0,23621,Rory Sabbatini,69.91,1538,22
34,0,30926,Chris Kirk,69.93,1049,15
35,0,34409,David Lingmerth,69.96,1679,24
36,0,21209,Sergio Garcia,70.00,140,2
36,0,01810,Phil Mickelson,70.00,210,3
36,0,06567,Vijay Singh,70.00,1260,18
39,0,29476,Kyle Reifers,70.04,1681,24
40,0,34563,Chesson Hadley,70.05,1401,20
40,0,25345,Carl Pettersson,70.05,1471,21
40,0,27064,Jhonattan Vegas,70.05,1331,19
43,0,26758,David Hearn,70.06,1261,18
44,0,25364,Paul Casey,70.09,771,11
45,0,30927,Brendon Todd,70.11,1262,18
46,0,37454,Whee Kim,70.12,1192,17
47,0,28475,Jeff Overton,70.13,561,8
47,0,26476,Chez Reavie,70.13,561,8
49,0,34431,Robert Streb,70.15,912,13
50,0,10860,Justin Leonard,70.17,842,12
50,0,29518,Brendan Steele,70.17,842,12
52,0,24925,Jonathan Byrd,70.20,702,10
52,0,27214,Kevin Streelman,70.20,1404,20
54,0,30711,Colt Knost,70.25,1124,16
55,0,35545,Blayne Barber,70.26,1335,19
56,0,34174,John Huh,70.27,1546,22
56,0,26596,Ryan Moore,70.27,1054,15
58,0,31202,William McGirt,70.31,1125,16
59,0,12510,Chad Campbell,70.33,1477,21
59,0,20593,Greg Chalmers,70.33,844,12
