RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,01132,Mark Brooks,37' 3",41,1528.583,+5.00
2,0,02101,Joey Sindelar,37' 4",95,3544.000,+15.00
3,0,23322,Brett Wetterich,37' 6",164,6153.417,-4.00
4,0,02104,Jeff Sluman,37' 8",67,2526.333,+9.00
4,0,25804,Bubba Watson,37' 8",142,5347.667,+6.00
6,0,08793,Tiger Woods,37' 11",102,3865.250,-5.00
7,0,08123,Jeff Brehaut,38' 9",78,3019.667,+7.00
8,0,24358,Robert Garrigus,38' 10",214,8310.250,+12.00
9,0,06567,Vijay Singh,39' 0",171,6666.500,+10.00
10,0,01381,Fred Funk,39' 5",58,2286.000,+17.00
11,0,07457,Steve Flesch,39' 7",148,5854.167,+21.00
12,0,20850,Daniel Chopra,39' 8",209,8293.833,+14.00
13,0,20691,Greg Owen,39' 11",138,5508.333,+35.00
14,0,01706,Davis Love III,40' 0",84,3362.250,+3.00
14,0,24361,Pat Perez,40' 0",123,4921.750,+12.00
16,0,23349,Charles Warren,40' 2",112,4502.500,+25.00
17,0,21959,Ted Purdy,40' 3",155,6241.833,+10.00
18,0,19824,Craig Barlow,40' 6",93,3763.583,+17.00
19,0,01249,John Daly,40' 7",132,5360.667,+3.00
20,0,20127,Chris Riley,40' 9",86,3502.667,+5.00
21,0,21633,Steve Allan,40' 10",115,4692.500,+8.00
21,0,27141,J.B. Holmes,40' 10",109,4451.083,+7.00
21,0,01810,Phil Mickelson,40' 10",98,4005.083,E
24,0,07363,Craig Bowden,40' 11",97,3971.333,+11.00
24,0,10117,Bob Heintz,40' 11",106,4334.917,+14.00
24,0,24457,Jaco Van Zyl,40' 11",63,2576.583,+12.00
27,0,21209,Sergio Garcia,41' 1",103,4230.833,+10.00
27,0,12716,Charley Hoffman,41' 1",157,6444.667,+21.00
27,0,02223,Bob Tway,41' 1",111,4562.583,+7.00
30,0,06197,Michael Allen,41' 3",113,4657.583,+24.00
31,0,20104,Ken Duke,41' 4",191,7890.667,+4.00
32,0,01035,Tommy Armour III,41' 6",78,3236.750,E
32,0,20229,Stewart Cink,41' 6",150,6221.167,+9.00
32,0,06621,Joe Durant,41' 6",108,4484.750,+9.00
32,0,22046,Geoff Ogilvy,41' 6",141,5853.500,E
36,0,24980,Scott Gutschewski,41' 7",128,5321.917,+14.00
36,0,27702,Matt Hendrix,41' 7",91,3783.250,+31.00
36,0,22293,Heath Slocum,41' 7",128,5318.417,+14.00
36,0,08375,Paul Stankowski,41' 7",50,2079.667,+1.00
40,0,20498,Briny Baird,41' 8",163,6789.417,+26.00
40,0,23933,Michael Boyd,41' 8",65,2708.417,+9.00
40,0,20628,Arron Oberholser,41' 8",94,3917.750,+7.00
40,0,23621,Rory Sabbatini,41' 8",149,6202.833,+8.00
40,0,20645,John Senden,41' 8",149,6207.167,+5.00
45,0,23788,D.J. Trahan,41' 9",155,6471.500,+19.00
46,0,06527,Steve Stricker,41' 10",112,4686.583,+10.00
47,0,01945,Kenny Perry,41' 11",108,4526.667,+8.00
48,0,12195,Tom Johnson,42' 0",117,4915.000,+15.00
48,0,24490,George McNeill,42' 0",154,6465.083,+17.00
48,0,23623,Bo Van Pelt,42' 0",175,7352.250,+16.00
51,0,01161,Mark Calcavecchia,42' 1",115,4836.750,+7.00
51,0,23983,Luke Donald,42' 1",71,2986.833,+18.00
53,0,12652,Cameron Beckman,42' 3",127,5368.833,+17.00
53,0,12680,Shigeki Maruyama,42' 3",131,5534.250,+27.00
53,0,24140,Sean O'Hair,42' 3",138,5825.750,+11.00
53,0,27095,Nick Watney,42' 3",123,5201.667,+19.00
57,0,12660,Jesper Parnevik,42' 4",120,5084.000,+9.00
58,0,19846,Brian Gay,42' 6",136,5785.083,+19.00
58,0,27649,Brandt Snedeker,42' 6",151,6411.333,+14.00
60,0,23614,Rich Beem,42' 7",123,5233.000,+18.00
60,0,23325,Vaughn Taylor,42' 7",114,4857.167,+13.00
62,0,07867,Woody Austin,42' 8",181,7716.667,+27.00
62,0,23048,Eric Axley,42' 8",172,7335.083,+20.00
62,0,21646,David Branshaw,42' 8",133,5676.083,+14.00
62,0,20766,Padraig Harrington,42' 8",69,2943.667,-1.00
62,0,27060,John Mallinger,42' 8",164,6999.750,+33.00
62,0,29476,Kyle Reifers,42' 8",120,5117.833,+28.00
62,0,23497,Tag Ridings,42' 8",96,4094.583,+16.00
62,0,21660,Jason Schultz,42' 8",109,4647.417,+20.00
70,0,06522,Ernie Els,42' 9",106,4533.333,-2.00
70,0,06643,Paul Goydos,42' 9",77,3289.917,+28.00
70,0,27933,John Merrick,42' 9",193,8256.667,+21.00
73,0,20382,Stephen Leaney,42' 11",114,4897.083,+7.00
73,0,27120,Troy Matteson,42' 11",166,7129.167,+17.00
75,0,07223,Brian Bateman,43' 0",77,3313.500,+5.00
75,0,20623,Gavin Coles,43' 0",113,4861.500,+9.00
75,0,02214,Kirk Triplett,43' 0",99,4253.000,+19.00
78,0,21731,Freddie Jacobson,43' 1",126,5427.750,+20.00
79,0,11123,Chris Couch,43' 2",149,6429.250,+17.00
80,0,06004,Stephen Ames,43' 3",116,5021.500,+12.00
80,0,06515,Shaun Micheel,43' 3",105,4541.833,+19.00
82,0,01024,Billy Andrade,43' 4",154,6669.500,+29.00
82,0,24912,Will MacKenzie,43' 4",187,8101.583,+28.00
84,0,20472,Alex Cejka,43' 5",84,3646.083,+11.00
84,0,20105,Jeff Gove,43' 5",150,6517.250,+26.00
86,0,21805,Harrison Frazar,43' 7",172,7501.583,+24.00
86,0,25190,Jeff Quinney,43' 7",147,6405.583,+17.00
88,0,24925,Jonathan Byrd,43' 8",109,4759.583,+29.00
88,0,22378,Trevor Immelman,43' 8",87,3797.667,+17.00
88,0,29718,Anthony Kim,43' 8",147,6422.833,+8.00
88,0,20634,Peter Lonard,43' 8",114,4981.000,+14.00
92,0,22405,Justin Rose,43' 9",52,2277.083,+5.00
92,0,02206,David Toms,43' 9",107,4685.667,+6.00
94,0,08537,J.P. Hayes,43' 10",156,6834.250,+24.00
94,0,12705,Cliff Kresge,43' 10",150,6573.833,+17.00
94,0,28475,Jeff Overton,43' 10",109,4778.833,-4.00
97,0,10213,Dicky Pride,43' 11",119,5224.083,+19.00
97,0,28486,Michael Putnam,43' 11",138,6056.000,+13.00
99,0,20098,Stuart Appleby,44' 0",110,4843.250,+17.00
100,0,24290,D.J. Brigman,44' 1",96,4234.250,+8.00
100,0,21753,Brian Davis,44' 1",128,5646.917,+6.00
100,0,26882,Michael Sim,44' 1",80,3529.750,+11.00
103,0,25900,Lucas Glover,44' 2",122,5385.333,+16.00
104,0,10885,Robert Allenby,44' 3",153,6774.667,+20.00
104,0,12510,Chad Campbell,44' 3",125,5531.667,+31.00
106,0,10809,Jim Furyk,44' 4",103,4568.000,+8.00
106,0,10860,Justin Leonard,44' 4",127,5630.417,+11.00
106,0,11032,Frank Lickliter II,44' 4",130,5763.000,+29.00
106,0,25345,Carl Pettersson,44' 4",169,7496.500,+8.00
110,0,19972,José Coceres,44' 5",51,2264.833,+11.00
111,0,19803,Ryan Armour,44' 6",163,7256.750,+37.00
111,0,22913,John Rollins,44' 6",152,6768.167,+16.00
113,0,26360,Bubba Dickerson,44' 7",81,3612.250,+6.00
114,0,01797,Rocco Mediate,44' 8",106,4734.417,+21.00
114,0,21949,Joe Ogilvie,44' 8",152,6792.667,+8.00
116,0,06595,Kevin Sutherland,44' 9",127,5680.750,+23.00
116,0,26289,Boo Weekley,44' 9",143,6400.917,+17.00
118,0,01948,Tim Petrovic,44' 10",206,9232.500,+25.00
119,0,06034,Marco Dawson,44' 11",135,6060.250,+17.00
120,0,23613,Rich Barcelo,45' 0",174,7823.500,+39.00
120,0,23135,Tim Clark,45' 0",69,3105.250,+14.00
120,0,20433,Mark Hensby,45' 0",110,4947.500,+17.00
120,0,10733,Kent Jones,45' 0",128,5764.833,+25.00
120,0,23108,Matt Kuchar,45' 0",124,5582.917,+13.00
120,0,26951,Johnson Wagner,45' 0",160,7193.917,+26.00
126,0,22295,Darron Stiles,45' 2",69,3116.083,+15.00
127,0,01157,Tom Byrum,45' 3",66,2987.417,+10.00
127,0,01320,Bob Estes,45' 3",153,6918.250,+22.00
127,0,23718,Nathan Green,45' 3",134,6061.833,+21.00
130,0,21350,Ryuji Imada,45' 4",172,7799.000,+20.00
130,0,26881,Jarrod Lyle,45' 4",132,5982.417,+14.00
