RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,35450,Patrick Cantlay,67.88,93,137,-0.16
2,0,30925,Dustin Johnson,67.76,103,152,-0.16
3,0,25364,Paul Casey,66.82,149,223,-0.14
4,0,25900,Lucas Glover,64.52,180,279,-0.09
5,0,10809,Jim Furyk,63.87,122,191,-0.14
6,0,26951,Johnson Wagner,63.35,121,191,-0.07
7,0,19803,Ryan Armour,63.22,110,174,-0.06
8,0,27436,Graham DeLaet,63.18,139,220,-0.18
9,0,27064,Jhonattan Vegas,62.98,131,208,-0.08
10,0,29518,Brendan Steele,62.80,130,207,-0.10
11,0,22056,Cameron Percy,62.72,106,169,-0.03
12,0,29725,Tony Finau,62.69,163,260,-0.22
12,0,34046,Jordan Spieth,62.69,126,201,-0.21
14,0,32839,Hideki Matsuyama,62.43,113,181,-0.14
15,0,28093,Miguel Angel Carballo,62.30,76,122,-0.04
16,0,46970,Jon Rahm,62.05,103,166,-0.19
17,0,31202,William McGirt,61.85,154,249,-0.15
18,0,32200,Roberto Castro,61.73,121,196,-0.04
18,0,23353,J.J. Henry,61.73,171,277,-0.06
20,0,47959,Bryson DeChambeau,61.68,132,214,-0.20
21,0,31557,Jim Herman,61.61,138,224,-0.21
22,0,25818,Scott Piercy,61.54,88,143,-0.08
23,0,34098,Russell Henley,61.49,182,296,-0.15
24,0,31646,Emiliano Grillo,61.32,130,212,-0.17
25,0,31323,Gary Woodland,61.02,144,236,-0.03
26,0,29476,Kyle Reifers,61.01,169,277,-0.09
27,0,28237,Rory McIlroy,60.71,51,84,-0.08
28,0,25240,D.A. Points,60.53,138,228,-0.12
29,0,24361,Pat Perez,60.47,153,253,-0.18
30,0,30944,Jason Kokrak,60.39,154,255,-0.12
31,0,26329,Louis Oosthuizen,60.34,105,174,-0.16
32,0,29479,Scott Brown,60.00,168,280,-0.10
32,0,32102,Rickie Fowler,60.00,126,210,-0.24
34,0,29221,Webb Simpson,59.93,166,277,-0.18
35,0,22405,Justin Rose,59.88,103,172,-0.14
36,0,23320,Ryan Palmer,59.87,91,152,-0.08
37,0,36801,Mark Hubbard,59.81,125,209,-0.08
38,0,24846,Ricky Barnes,59.77,159,266,-0.10
39,0,34264,Hudson Swafford,59.67,145,243,-0.12
40,0,46732,Rick Lamb,59.65,68,114,-0.19
41,0,28420,Ryan Brehm,59.34,108,182,-0.10
42,0,33948,Byeong Hun An,59.30,102,172,-0.15
43,0,33141,Keegan Bradley,59.24,186,314,-0.11
44,0,24358,Robert Garrigus,59.22,106,179,-0.15
45,0,29420,Billy Horschel,59.07,153,259,-0.15
46,0,36689,Brooks Koepka,59.04,111,188,-0.23
47,0,31416,Derek Fathauer,59.03,134,227,-0.15
48,0,25493,Nick Taylor,58.78,164,279,-0.09
49,0,29908,C.T. Pan,58.70,162,276,-0.10
50,0,33204,Shane Lowry,58.65,78,133,-0.08
51,0,20229,Stewart Cink,58.57,147,251,-0.11
51,0,24138,Ian Poulter,58.57,123,210,-0.11
53,0,23621,Rory Sabbatini,58.54,96,164,-0.13
54,0,30110,Kyle Stanley,58.50,179,306,-0.12
55,0,28132,Tyrone Van Aswegen,58.44,180,308,-0.06
56,0,34358,Jonathan Randolph,58.43,97,166,-0.18
57,0,36699,Patrick Rodgers,58.29,116,199,-0.03
58,0,24502,Adam Scott,58.27,81,139,-0.11
59,0,28500,Martin Flores,58.25,113,194,-0.12
60,0,49771,J.T. Poston,58.22,124,213,-0.25
61,0,33122,Russell Knox,58.05,101,174,-0.07
62,0,25686,Jason Dufner,57.92,139,240,-0.14
63,0,23108,Matt Kuchar,57.89,154,266,-0.08
