RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,08793,Tiger Woods,29,2006280
2,0,10885,Robert Allenby,27,2008030
3,0,01810,Phil Mickelson,18,2008070
4,0,29718,Anthony Kim,15,2008180
5,0,20098,Stuart Appleby,13,2008210
5,0,20104,Ken Duke,13,2008300
5,0,21209,Sergio Garcia,13,2008190
5,0,21878,Mark Wilson,13,2008290
9,0,10809,Jim Furyk,12,2008240
9,0,10860,Justin Leonard,12,2008230
11,0,19970,Robert Karlsson,10,2007340
11,0,22212,Craig Lile,10,2007320
11,0,25345,Carl Pettersson,10,2008330
11,0,25240,D.A. Points,10,2006380
15,0,22792,Peter Hanson,9,2005300
15,0,12716,Charley Hoffman,9,2008330
15,0,25562,Andres Romero,9,2008260
15,0,06527,Steve Stricker,9,2008260
15,0,10423,Mike Weir,9,2008320
20,0,22621,Ben Curtis,8,2008270
20,0,10875,Todd Demsey,8,2008370
20,0,28475,Jeff Overton,8,2008380
20,0,20160,Charlie Wi,8,2008330
24,0,07867,Woody Austin,7,2008390
24,0,28158,Steve Marino,7,2008390
24,0,12461,Paul McGinley,7,2006370
27,0,12510,Chad Campbell,6,2008380
27,0,01320,Bob Estes,6,2008440
27,0,01388,Robert Gamez,6,2008410
27,0,25900,Lucas Glover,6,2008320
27,0,11032,Frank Lickliter II,6,2008440
27,0,01941,Tom Pernice Jr.,6,2008390
27,0,26882,Michael Sim,6,2008080
27,0,27649,Brandt Snedeker,6,2008350
27,0,06595,Kevin Sutherland,6,2008380
27,0,02190,Doug Tewell,6,1999230
27,0,02223,Bob Tway,6,2008370
27,0,02239,Scott Verplank,6,2008380
39,0,20848,Ángel Cabrera,5,2008350
39,0,20229,Stewart Cink,5,2008380
39,0,06621,Joe Durant,5,2008440
39,0,07457,Steve Flesch,5,2008390
39,0,21350,Ryuji Imada,5,2008390
39,0,27936,Martin Laird,5,2008450
39,0,01682,Wayne Levi,5,2001300
39,0,24781,Hunter Mahan,5,2008380
39,0,24361,Pat Perez,5,2008390
39,0,02002,John Riegger,5,2008450
39,0,27963,Chris Stroud,5,2008450
39,0,27095,Nick Watney,5,2008440
39,0,25349,Tim Wilkinson,5,2008440
52,0,01139,Olin Browne,4,2008440
52,0,24357,K.J. Choi,4,2008380
52,0,23638,Brendon de Jonge,4,2007450
52,0,06251,Chris DiMarco,4,2008450
52,0,22379,Mark Foster,4,2003300
52,0,24358,Robert Garrigus,4,2008460
52,0,20569,Richard Green,4,2008240
52,0,20378,Mathias Grönberg,4,2008460
52,0,27576,Anton Haig,4,2007130
52,0,22378,Trevor Immelman,4,2008380
52,0,19903,Jonathan Lomas,4,1995290
52,0,25572,Graeme McDowell,4,2008140
52,0,01945,Kenny Perry,4,2008380
52,0,22405,Justin Rose,4,2008270
52,0,06567,Vijay Singh,4,2008380
52,0,27214,Kevin Streelman,4,2008450
52,0,06078,Esteban Toledo,4,2007080
52,0,08385,Omar Uresti,4,2008460
52,0,24663,Y.E. Yang,4,2008460
71,0,21407,Arjun Atwal,3,2007420
71,0,22371,Aaron Baddeley,3,2008390
71,0,12652,Cameron Beckman,3,2008470
71,0,26525,Grégory Bourdy,3,2006440
71,0,08191,Paul Broadhurst,3,2006440
71,0,32262,Mark Brown,3,2008140
71,0,01142,Bart Bryant,3,2008390
71,0,23983,Luke Donald,3,2008210
71,0,06522,Ernie Els,3,2008390
71,0,24184,Alastair Forsyth,3,2007310
71,0,21284,Hiroyuki Fujita,3,2004290
71,0,06575,Dudley Hart,3,2008400
71,0,23353,J.J. Henry,3,2008470
71,0,12782,Tim Herron,3,2008450
71,0,27141,J.B. Holmes,3,2008400
71,0,01577,Lee Janzen,3,2008470
71,0,30926,Chris Kirk,3,2008220
71,0,24912,Will MacKenzie,3,2008460
71,0,06350,Bob May,3,2008080
71,0,23821,Yusaku Miyazato,3,2006360
71,0,24140,Sean O'Hair,3,2008440
71,0,23320,Ryan Palmer,3,2008470
71,0,10649,Tom Scherrer,3,2008460
71,0,02084,Bob Shearer,3,1984320
71,0,21528,Henrik Stenson,3,2008320
71,0,32150,Michael Thompson,3,2008260
71,0,23788,D.J. Trahan,3,2008390
71,0,27770,Camilo Villegas,3,2008390
71,0,26951,Johnson Wagner,3,2008390
71,0,26289,Boo Weekley,3,2008390
101,0,06197,Michael Allen,2,2008480
101,0,20367,Fredrik Andersson Hed,2,2002310
101,0,01035,Tommy Armour III,2,2008470
101,0,27124,Chris Baryla,2,2003380
101,0,10944,Thomas Bjørn,2,2007310
101,0,27958,Ryan Blaum,2,2007360
