RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,10423,Mike Weir,11.37,84,739,+0.476
2,0,20498,Briny Baird,11.16,70,627,+0.243
3,0,32150,Michael Thompson,10.24,86,840,+0.093
4,0,23983,Luke Donald,9.64,59,612,+0.051
5,0,20104,Ken Duke,9.32,86,923,+0.140
6,0,19846,Brian Gay,9.07,80,882,+0.275
7,0,34261,Scott Langley,9.00,99,1100,+0.162
8,0,22371,Aaron Baddeley,8.99,74,823,+0.270
9,0,10860,Justin Leonard,8.93,77,862,+0.286
10,0,10809,Jim Furyk,8.91,82,920,-0.098
11,0,25572,Graeme McDowell,8.70,56,644,-0.018
12,0,07867,Woody Austin,8.65,69,798,+0.275
13,0,23800,Bryce Molder,8.52,76,892,+0.158
14,0,27466,Spencer Levin,8.33,58,696,+0.207
15,0,24663,Y.E. Yang,8.24,70,849,+0.243
16,0,22378,Trevor Immelman,8.11,76,937,+0.237
17,0,25720,Chad Collins,8.02,68,848,+0.221
18,0,25191,Gonzalo Fernandez-Castaño,7.97,77,966,+0.325
19,0,22913,John Rollins,7.91,74,935,+0.365
20,0,27556,Ted Potter Jr.,7.90,66,835,+0.136
21,0,34563,Chesson Hadley,7.89,78,989,+0.269
22,0,23409,James Driscoll,7.82,63,806,+0.333
23,0,35139,Richard Lee,7.76,66,851,+0.167
24,0,27649,Brandt Snedeker,7.70,71,922,+0.239
25,0,28092,D.H. Lee,7.67,48,626,+0.458
26,0,32200,Roberto Castro,7.54,62,822,+0.113
27,0,24507,Jason Bohn,7.48,76,1016,+0.303
28,0,23135,Tim Clark,7.40,64,865,+0.313
29,0,31560,Brian Stuard,7.27,75,1032,+0.093
30,0,24925,Jonathan Byrd,7.19,65,904,+0.246
30,0,32448,James Hahn,7.19,73,1016,+0.137
32,0,22621,Ben Curtis,7.18,64,891,+0.188
33,0,24490,George McNeill,7.17,70,976,+0.014
34,0,27933,John Merrick,7.16,72,1006,+0.181
35,0,26758,David Hearn,7.09,81,1143,-0.123
35,0,33122,Russell Knox,7.09,82,1156,-0.024
35,0,24361,Pat Perez,7.09,74,1044,+0.176
38,0,28307,Matt Every,7.08,64,904,+0.266
38,0,08075,Jerry Kelly,7.08,65,918,+0.169
40,0,24357,K.J. Choi,7.07,66,934,+0.136
41,0,30944,Jason Kokrak,6.95,59,849,E
42,0,28486,Michael Putnam,6.94,88,1268,+0.193
43,0,26951,Johnson Wagner,6.93,56,808,+0.179
44,0,20098,Stuart Appleby,6.92,81,1170,+0.198
45,0,02206,David Toms,6.91,52,753,+0.058
46,0,25364,Paul Casey,6.84,42,614,+0.071
47,0,23541,Ben Crane,6.81,74,1086,+0.095
47,0,20157,Retief Goosen,6.81,74,1087,+0.176
49,0,37273,Derek Ernst,6.80,60,883,+0.217
50,0,10885,Robert Allenby,6.77,66,975,+0.091
50,0,29222,Billy Hurley III,6.77,68,1005,+0.059
50,0,29289,S.Y. Noh,6.77,71,1048,+0.056
53,0,34174,John Huh,6.75,66,978,+0.061
53,0,31193,Jim Renner,6.75,49,726,+0.204
55,0,25240,D.A. Points,6.74,52,772,+0.154
55,0,35732,Wes Roach,6.74,47,697,+0.319
55,0,29518,Brendan Steele,6.74,66,979,+0.045
58,0,24846,Ricky Barnes,6.71,73,1088,+0.137
58,0,30926,Chris Kirk,6.71,81,1208,+0.111
60,0,24358,Robert Garrigus,6.69,68,1017,+0.191
61,0,23623,Bo Van Pelt,6.64,62,934,+0.145
62,0,25900,Lucas Glover,6.56,43,655,+0.163
63,0,12510,Chad Campbell,6.54,42,642,+0.119
63,0,24140,Sean O'Hair,6.54,61,933,+0.213
63,0,21878,Mark Wilson,6.54,52,795,+0.077
66,0,33418,Shawn Stefani,6.52,52,798,+0.154
67,0,33413,Ben Martin,6.48,57,879,+0.175
68,0,25349,Tim Wilkinson,6.45,64,993,+0.172
69,0,26596,Ryan Moore,6.42,56,872,+0.036
70,0,20593,Greg Chalmers,6.39,65,1017,+0.108
71,0,30852,Ryo Ishikawa,6.38,55,862,+0.145
72,0,21731,Freddie Jacobson,6.29,71,1128,+0.155
