RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,25804,Bubba Watson,314.3,40863,130
2,0,30925,Dustin Johnson,311.0,32970,106
3,0,28237,Rory McIlroy,310.5,37261,120
4,0,27141,J.B. Holmes,308.0,52979,172
4,0,35300,Andrew Loupe,308.0,37576,122
6,0,36689,Brooks Koepka,307.0,34389,112
7,0,24358,Robert Garrigus,306.1,48974,160
8,0,27064,Jhonattan Vegas,304.8,45726,150
9,0,21961,Charles Howell III,304.1,62028,204
9,0,31323,Gary Woodland,304.1,53218,175
11,0,32334,Charlie Beljan,303.8,43741,144
12,0,20848,Ángel Cabrera,303.7,41915,138
13,0,24502,Adam Scott,303.5,41275,136
14,0,27436,Graham DeLaet,303.4,42781,141
14,0,30944,Jason Kokrak,303.4,39447,130
16,0,29461,Jamie Lovemark,302.4,36292,120
17,0,33141,Keegan Bradley,302.2,48344,160
18,0,28089,Jason Day,301.2,28914,96
19,0,25632,Jimmy Walker,301.0,52978,176
20,0,25900,Lucas Glover,300.6,37276,124
21,0,24140,Sean O'Hair,300.5,46271,154
21,0,26329,Louis Oosthuizen,300.5,25240,84
23,0,23320,Ryan Palmer,300.4,48665,162
23,0,30692,Scott Stallings,300.4,43257,144
25,0,34431,Robert Streb,300.0,42598,142
26,0,34099,Harris English,299.2,52660,176
26,0,12716,Charley Hoffman,299.2,53254,178
28,0,29518,Brendan Steele,298.9,48417,162
29,0,25274,Steven Bowditch,298.1,55447,186
30,0,26331,Charl Schwartzel,297.8,36930,124
31,0,33418,Shawn Stefani,297.7,35723,120
32,0,26851,Marc Leishman,297.6,45239,152
33,0,32102,Rickie Fowler,297.5,45808,154
33,0,30110,Kyle Stanley,297.5,47008,158
33,0,34264,Hudson Swafford,297.5,42248,142
36,0,34265,Will Wilcox,297.3,29133,98
37,0,27936,Martin Laird,297.2,34477,116
38,0,37273,Derek Ernst,297.0,42770,144
39,0,27120,Troy Matteson,296.7,34422,116
40,0,29289,S.Y. Noh,296.5,54555,184
41,0,26300,Matt Jones,296.3,46823,158
41,0,01706,Davis Love III,296.3,42664,144
43,0,32366,Kevin Chappell,296.2,54493,184
44,0,28500,Martin Flores,296.0,47957,162
45,0,24781,Hunter Mahan,295.8,50294,170
45,0,27095,Nick Watney,295.8,39636,134
47,0,25345,Carl Pettersson,295.5,53784,182
48,0,33461,Morgan Hoffmann,295.4,58486,198
49,0,22405,Justin Rose,295.1,37779,128
50,0,27408,Martin Kaymer,294.9,35391,120
51,0,32839,Hideki Matsuyama,294.8,44217,150
52,0,31557,Jim Herman,294.7,34181,116
53,0,25562,Andres Romero,294.6,45363,154
53,0,27330,Josh Teater,294.6,49496,168
55,0,32333,Kevin Tway,294.5,35342,120
56,0,29740,Brad Fritsch,294.4,28267,96
57,0,21209,Sergio Garcia,294.3,29425,100
58,0,23621,Rory Sabbatini,294.2,43537,148
59,0,30750,Tommy Gainey,294.0,40569,138
60,0,22371,Aaron Baddeley,293.8,39950,136
61,0,20229,Stewart Cink,293.7,51111,174
61,0,34098,Russell Henley,293.7,51688,176
63,0,34021,Bud Cauley,293.4,32856,112
64,0,21528,Henrik Stenson,293.2,29322,100
65,0,25364,Paul Casey,293.0,30475,104
65,0,28486,Michael Putnam,293.0,59769,204
65,0,35732,Wes Roach,293.0,36919,126
68,0,22046,Geoff Ogilvy,292.5,46799,160
68,0,27770,Camilo Villegas,292.5,53231,182
70,0,01810,Phil Mickelson,292.4,36840,126
71,0,34360,Patrick Reed,292.3,50267,172
71,0,20396,Lee Westwood,292.3,30397,104
73,0,24924,Bill Haas,291.9,56626,194
74,0,22378,Trevor Immelman,291.8,46685,160
75,0,33413,Ben Martin,291.7,46668,160
76,0,29420,Billy Horschel,291.6,47828,164
76,0,26679,Kevin Stadler,291.6,49281,169
78,0,23623,Bo Van Pelt,291.3,43695,150
79,0,06522,Ernie Els,291.2,41354,142
80,0,30852,Ryo Ishikawa,291.0,41328,142
80,0,30926,Chris Kirk,291.0,58203,200
82,0,24846,Ricky Barnes,290.7,51170,176
82,0,23353,J.J. Henry,290.7,50590,174
84,0,34563,Chesson Hadley,290.6,48814,168
84,0,24912,Will MacKenzie,290.6,47666,164
86,0,22913,John Rollins,290.1,44101,152
87,0,28132,Tyrone Van Aswegen,290.0,45234,156
88,0,34409,David Lingmerth,289.8,41729,144
89,0,06567,Vijay Singh,289.7,48093,166
89,0,34046,Jordan Spieth,289.7,54470,188
91,0,32448,James Hahn,289.6,46337,160
92,0,29535,Brice Garnett,289.3,50915,176
93,0,32150,Michael Thompson,289.2,38172,132
94,0,27644,Brian Harman,289.0,64149,222
95,0,20645,John Senden,288.9,57207,198
96,0,20157,Retief Goosen,288.8,49665,172
97,0,27214,Kevin Streelman,288.6,40121,139
98,0,28259,Sangmoon Bae,288.5,41549,144
98,0,29221,Webb Simpson,288.5,48462,168
100,0,26289,Boo Weekley,288.3,36614,127
101,0,31193,Jim Renner,288.2,34013,118
102,0,24925,Jonathan Byrd,288.1,41481,144
102,0,25191,Gonzalo Fernandez-Castaño,288.1,44938,156
102,0,35541,John Peterson,288.1,34574,120
102,0,24138,Ian Poulter,288.1,29963,104
106,0,23638,Brendon de Jonge,287.9,59893,208
107,0,12510,Chad Campbell,287.8,30510,106
107,0,29478,Kevin Kisner,287.8,48933,170
109,0,35539,Luke Guthrie,287.6,48889,170
110,0,28475,Jeff Overton,287.5,41396,144
111,0,29425,Andrew Svoboda,287.4,44261,154
112,0,29479,Scott Brown,287.2,55140,192
113,0,26951,Johnson Wagner,287.1,37322,130
114,0,28780,Nicholas Thompson,287.0,44203,154
115,0,24361,Pat Perez,286.4,48114,168
116,0,28307,Matt Every,286.3,46373,162
117,0,27895,Jonas Blixt,286.1,30899,108
117,0,24490,George McNeill,286.1,45200,158
119,0,27963,Chris Stroud,285.8,48020,168
120,0,33122,Russell Knox,285.7,52566,184
121,0,27649,Brandt Snedeker,285.6,47126,165
122,0,25686,Jason Dufner,285.3,28526,100
122,0,27933,John Merrick,285.3,42797,150
124,0,32640,Troy Merritt,285.2,35359,124
125,0,25444,Justin Hicks,285.1,56456,198
125,0,35139,Richard Lee,285.1,42188,148
127,0,10885,Robert Allenby,284.9,46157,162
127,0,26956,Bronson La'Cassie,284.9,26779,94
129,0,26596,Ryan Moore,284.7,43280,152
130,0,21731,Freddie Jacobson,284.6,51797,182
131,0,25240,D.A. Points,284.5,36982,130
132,0,23409,James Driscoll,284.2,40353,142
132,0,29926,Danny Lee,284.2,45471,160
134,0,32200,Roberto Castro,283.9,39746,140
134,0,34174,John Huh,283.9,44849,158
136,0,23108,Matt Kuchar,283.8,49943,176
137,0,31560,Brian Stuard,283.4,49310,174
138,0,24494,Erik Compton,283.3,49864,176
139,0,33419,Cameron Tringale,282.9,60534,214
140,0,25349,Tim Wilkinson,282.4,46321,164
141,0,24024,Zach Johnson,282.2,54182,192
141,0,25834,Daniel Summerhays,282.2,53054,188
143,0,24663,Y.E. Yang,281.9,43973,156
144,0,20498,Briny Baird,281.6,28159,100
145,0,34261,Scott Langley,281.3,52320,186
146,0,20160,Charlie Wi,281.0,39335,140
147,0,20593,Greg Chalmers,280.7,45469,162
148,0,25396,Kevin Na,280.3,52700,188
148,0,30927,Brendon Todd,280.3,60260,215
150,0,27466,Spencer Levin,280.1,33051,118
151,0,24507,Jason Bohn,280.0,45363,162
152,0,24357,K.J. Choi,279.8,42535,152
153,0,21878,Mark Wilson,279.6,36346,130
154,0,22621,Ben Curtis,279.5,40811,146
155,0,10809,Jim Furyk,279.3,44681,160
156,0,26758,David Hearn,279.1,51918,186
157,0,23541,Ben Crane,279.0,45204,162
158,0,23800,Bryce Molder,278.7,38458,138
159,0,20098,Stuart Appleby,278.6,50148,180
160,0,07867,Woody Austin,278.5,32861,118
160,0,31202,William McGirt,278.5,53472,192
162,0,27556,Ted Potter Jr.,278.4,37864,136
163,0,21753,Brian Davis,278.2,49511,178
164,0,23983,Luke Donald,278.1,28926,104
165,0,25572,Graeme McDowell,278.0,32253,116
166,0,22293,Heath Slocum,277.8,38340,138
167,0,08075,Jerry Kelly,277.5,42183,152
168,0,29222,Billy Hurley III,276.7,47597,172
169,0,01724,Jeff Maggert,276.6,29877,108
170,0,28092,D.H. Lee,276.2,27616,100
171,0,20104,Ken Duke,275.5,40775,148
172,0,25720,Chad Collins,275.4,40764,148
173,0,02206,David Toms,275.1,34110,124
174,0,23135,Tim Clark,272.2,38655,142
175,0,19846,Brian Gay,271.6,38570,142
176,0,10423,Mike Weir,271.2,35252,130
177,0,10860,Justin Leonard,270.3,40539,150
