RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,30925,Dustin Johnson,31.23,2717,8700,3,10
2,0,36689,Brooks Koepka,28.74,2012,7000,2,5
3,0,22405,Justin Rose,26.20,1991,7600,2,8
4,0,33448,Justin Thomas,25.95,2634,10150,3,8
5,0,28089,Jason Day,20.47,1771,8650,2,5
6,0,25198,Francesco Molinari,18.28,1682,9200,2,4
7,0,25804,Bubba Watson,17.64,1879,10650,3,5
8,0,46970,Jon Rahm,16.44,1430,8700,1,5
9,0,08793,Tiger Woods,15.39,1162,7550,0,5
10,0,25364,Paul Casey,15.33,1319,8600,1,5
11,0,29221,Webb Simpson,14.68,1710,11650,1,7
12,0,01810,Phil Mickelson,14.45,1546,10700,1,6
13,0,28237,Rory McIlroy,14.25,1154,8100,1,5
14,0,47959,Bryson DeChambeau,14.00,1617,11550,1,7
15,0,30911,Tommy Fleetwood,13.78,1130,8200,0,5
16,0,35450,Patrick Cantlay,13.60,1388,10200,1,6
17,0,32102,Rickie Fowler,13.56,1302,9600,0,4
18,0,34360,Patrick Reed,13.29,1555,11700,1,7
19,0,27349,Alex Noren,12.06,989,8200,0,3
20,0,29725,Tony Finau,11.88,1509,12700,0,8
21,0,21528,Henrik Stenson,11.43,868,7600,0,5
22,0,24138,Ian Poulter,11.32,1030,9100,1,4
23,0,32757,Patton Kizzire,10.78,1386,12850,2,4
24,0,24361,Pat Perez,10.43,1116,10700,1,4
25,0,25396,Kevin Na,10.38,1183,11400,1,4
26,0,26851,Marc Leishman,10.25,1148,11200,0,6
27,0,30110,Kyle Stanley,10.24,1198,11700,0,5
28,0,29518,Brendan Steele,9.83,998,10150,1,3
29,0,33410,Andrew Landry,9.18,1116,12150,1,5
30,0,27649,Brandt Snedeker,9.05,1077,11900,1,4
31,0,27644,Brian Harman,9.03,1056,11700,0,8
32,0,34046,Jordan Spieth,8.87,945,10650,0,5
33,0,48081,Xander Schauffele,8.86,1081,12200,0,5
34,0,49964,Aaron Wise,8.65,1086,12550,1,3
35,0,31323,Gary Woodland,8.60,1044,12150,1,3
36,0,34256,Andrew Putnam,8.55,1026,12000,1,5
37,0,26499,Rafa Cabrera Bello,8.53,784,9200,0,4
38,0,33948,Byeong Hun An,8.34,913,10950,0,4
39,0,29478,Kevin Kisner,8.33,971,11650,0,4
40,0,29420,Billy Horschel,8.27,960,11600,1,3
41,0,26329,Louis Oosthuizen,8.21,620,7550,0,3
